billing_product_id,attribute_name,attribute_value
BP00266,Asset ID,SAS00266
BP00266,Access Line ID,AL000266
BP00266,Circuit ID,CIR000266
BP00267,Asset ID,SAS00267
BP00267,Access Line ID,AL000267
BP00267,Circuit ID,CIR000267
BP00268,Asset ID,SAS00268
BP00268,Access Line ID,AL000268
BP00268,Circuit ID,CIR000268
BP00269,Asset ID,SAS00269
BP00269,Access Line ID,AL000269
BP00269,Circuit ID,CIR000269
BP00270,Asset ID,SAS00270
BP00270,Access Line ID,AL000270
BP00270,Circuit ID,CIR000270
BP00271,Asset ID,SAS00271
BP00271,Access Line ID,AL000271
BP00271,Circuit ID,CIR000271
BP00272,Asset ID,SAS00272
BP00272,Access Line ID,AL000272
BP00272,Circuit ID,CIR000272
BP00273,Asset ID,SAS00273
BP00273,Access Line ID,AL000273
BP00273,Circuit ID,CIR000273
BP00274,Asset ID,SAS00274
BP00274,Access Line ID,AL000274
BP00274,Circuit ID,CIR000274
BP00275,Asset ID,SAS00275
BP00275,Access Line ID,AL000275
BP00275,Circuit ID,CIR000275
BP00276,Asset ID,SAS00276
BP00276,Access Line ID,AL000276
BP00276,Circuit ID,CIR000276
BP00277,Asset ID,SAS00277
BP00277,Access Line ID,AL000277
BP00277,Circuit ID,CIR000277
BP00278,Asset ID,SAS00278
BP00278,Access Line ID,AL000278
BP00278,Circuit ID,CIR000278
BP00279,Asset ID,SAS00279
BP00279,Access Line ID,AL000279
BP00279,Circuit ID,CIR000279
BP00280,Asset ID,SAS00280
BP00280,Access Line ID,ALX000280
BP00280,Circuit ID,CIR000280
BP00281,Asset ID,SAS00281
BP00281,Access Line ID,ALX000281
BP00281,Circuit ID,CIR000281
BP00282,Asset ID,SAS00282
BP00282,Access Line ID,AL000282
BP00282,Circuit ID,CIR000282
BP00283,Asset ID,SAS00283
BP00283,Access Line ID,AL000283
BP00283,Circuit ID,CIR000283
BP00284,Asset ID,SAS00284
BP00284,Access Line ID,AL000284
BP00284,Circuit ID,CIR000284
BP00285,Asset ID,SAS00285
BP00285,Access Line ID,AL000285
BP00285,Circuit ID,CIR000285
BP00286,Asset ID,SAS00286
BP00286,Access Line ID,AL000286
BP00286,Circuit ID,CIR000286
BP00287,Asset ID,SAS00287
BP00287,Access Line ID,AL000287
BP00287,Circuit ID,CIR000287
BP00288,Asset ID,SAS00288
BP00288,Access Line ID,ALX000288
BP00288,Circuit ID,CIR000288
BP00289,Asset ID,SAS00289
BP00289,Access Line ID,AL000289
BP00289,Circuit ID,CIR000289
BP00290,Asset ID,SAS00290
BP00290,Access Line ID,AL000290
BP00290,Circuit ID,CIR000290
BP00291,Asset ID,SAS00291
BP00291,Access Line ID,AL000291
BP00291,Circuit ID,CIR000291
BP00292,Asset ID,SAS00292
BP00292,Access Line ID,ALX000292
BP00292,Circuit ID,CIR000292
BP00293,Asset ID,SAS00293
BP00293,Access Line ID,AL000293
BP00293,Circuit ID,CIR000293
BP00294,Asset ID,SAS00294
BP00294,Access Line ID,AL000294
BP00294,Circuit ID,CIR000294
BP00295,Asset ID,SAS00295
BP00295,Access Line ID,ALX000295
BP00295,Circuit ID,CIR000295
BP00296,Asset ID,SAS00296
BP00296,Access Line ID,AL000296
BP00296,Circuit ID,CIR000296
BP00297,Asset ID,ORPHAN_AS00297
BP00297,Access Line ID,AL000297
BP00297,Circuit ID,CIR000297
BP00298,Asset ID,SAS00298
BP00298,Access Line ID,AL000298
BP00298,Circuit ID,CIR000298
BP00299,Asset ID,ORPHAN_AS00299
BP00299,Access Line ID,AL000299
BP00299,Circuit ID,CIR000299
BP00300,Asset ID,SAS00300
BP00300,Access Line ID,AL000300
BP00300,Circuit ID,CIR000300
BP00301,Asset ID,SAS00301
BP00301,Access Line ID,AL000301
BP00301,Circuit ID,CIR000301
BP00302,Asset ID,SAS00302
BP00302,Access Line ID,AL000302
BP00302,Circuit ID,CIR000302
BP00303,Asset ID,SAS00303
BP00303,Access Line ID,AL000303
BP00303,Circuit ID,CIR000303
BP00304,Asset ID,SAS00304
BP00304,Access Line ID,AL000304
BP00304,Circuit ID,CIR000304
BP00305,Asset ID,SAS00305
BP00305,Access Line ID,AL000305
BP00305,Circuit ID,CIR000305
BP00306,Asset ID,SAS00306
BP00306,Access Line ID,AL000306
BP00306,Circuit ID,CIR000306
BP00307,Asset ID,SAS00307
BP00307,Access Line ID,AL000307
BP00307,Circuit ID,CIR000307
BP00308,Asset ID,SAS00308
BP00308,Access Line ID,AL000308
BP00308,Circuit ID,CIR000308
BP00309,Asset ID,SAS00309
BP00309,Access Line ID,AL000309
BP00309,Circuit ID,CIR000309
BP00310,Asset ID,SAS00310
BP00310,Access Line ID,AL000310
BP00310,Circuit ID,CIR000310
BP00311,Asset ID,SAS00311
BP00311,Access Line ID,AL000311
BP00311,Circuit ID,CIR000311
BP00312,Asset ID,SAS00312
BP00312,Access Line ID,AL000312
BP00312,Circuit ID,CIR000312
BP00313,Asset ID,SAS00313
BP00313,Access Line ID,AL000313
BP00313,Circuit ID,CIR000313
BP00314,Asset ID,SAS00314
BP00314,Access Line ID,AL000314
BP00314,Circuit ID,CIR000314
BP00315,Asset ID,SAS00315
BP00315,Access Line ID,AL000315
BP00315,Circuit ID,CIR000315
BP00316,Asset ID,SAS00316
BP00316,Access Line ID,AL000316
BP00316,Circuit ID,CIR000316
BP00317,Asset ID,SAS00317
BP00317,Access Line ID,AL000317
BP00317,Circuit ID,CIR000317
BP00318,Asset ID,SAS00318
BP00318,Access Line ID,AL000318
BP00318,Circuit ID,CIR000318
BP00319,Asset ID,SAS00319
BP00319,Access Line ID,AL000319
BP00319,Circuit ID,CIR000319
BP00320,Asset ID,SAS00320
BP00320,Access Line ID,AL000320
BP00320,Circuit ID,CIR000320
BP00321,Asset ID,SAS00321
BP00321,Access Line ID,AL000321
BP00321,Circuit ID,CIR000321
BP00322,Asset ID,SAS00322
BP00322,Access Line ID,AL000322
BP00322,Circuit ID,CIR000322
BP00323,Asset ID,SAS00323
BP00323,Access Line ID,AL000323
BP00323,Circuit ID,CIR000323
BP00324,Asset ID,SAS00324
BP00324,Access Line ID,AL000324
BP00324,Circuit ID,CIR000324
BP00325,Asset ID,SAS00325
BP00325,Access Line ID,AL000325
BP00325,Circuit ID,CIR000325
BP00326,Asset ID,SAS00326
BP00326,Access Line ID,AL000326
BP00326,Circuit ID,CIR000326
BP00327,Asset ID,SAS00327
BP00327,Access Line ID,AL000327
BP00327,Circuit ID,CIR000327
BP00328,Asset ID,SAS00328
BP00328,Access Line ID,ALX000328
BP00328,Circuit ID,CIR000328
BP00329,Asset ID,SAS00329
BP00329,Access Line ID,AL000329
BP00329,Circuit ID,CIR000329
BP00330,Asset ID,SAS00330
BP00330,Access Line ID,AL000330
BP00330,Circuit ID,CIR000330
BP00331,Asset ID,SAS00331
BP00331,Access Line ID,AL000331
BP00331,Circuit ID,CIR000331
BP00332,Asset ID,SAS00332
BP00332,Access Line ID,AL000332
BP00332,Circuit ID,CIR000332
BP00333,Asset ID,SAS00333
BP00333,Access Line ID,ALX000333
BP00333,Circuit ID,CIR000333
BP00334,Asset ID,SAS00334
BP00334,Access Line ID,AL000334
BP00334,Circuit ID,CIR000334
BP00335,Asset ID,SAS00335
BP00335,Access Line ID,AL000335
BP00335,Circuit ID,CIR000335
BP00336,Asset ID,SAS00336
BP00336,Access Line ID,AL000336
BP00336,Circuit ID,CIR000336
BP00337,Asset ID,SAS00337
BP00337,Access Line ID,AL000337
BP00337,Circuit ID,CIR000337
BP00338,Asset ID,SAS00338
BP00338,Access Line ID,AL000338
BP00338,Circuit ID,CIR000338
BP00339,Asset ID,SAS00339
BP00339,Access Line ID,AL000339
BP00339,Circuit ID,CIR000339
BP00340,Asset ID,SAS00340
BP00340,Access Line ID,AL000340
BP00340,Circuit ID,CIR000340
BP00341,Asset ID,SAS00341
BP00341,Access Line ID,AL000341
BP00341,Circuit ID,CIR000341
BP00342,Asset ID,SAS00342
BP00342,Access Line ID,AL000342
BP00342,Circuit ID,CIR000342
BP00343,Asset ID,SAS00343
BP00343,Access Line ID,AL000343
BP00343,Circuit ID,CIR000343
BP00344,Asset ID,SAS00344
BP00344,Access Line ID,AL000344
BP00344,Circuit ID,CIR000344
BP00345,Asset ID,SAS00345
BP00345,Access Line ID,AL000345
BP00345,Circuit ID,CIR000345
BP00346,Asset ID,SAS00346
BP00346,Access Line ID,AL000346
BP00346,Circuit ID,CIR000346
BP00347,Asset ID,SAS00347
BP00347,Access Line ID,ALX000347
BP00347,Circuit ID,CIR000347
BP00348,Asset ID,SAS00348
BP00348,Access Line ID,ALX000348
BP00348,Circuit ID,CIR000348
BP00349,Asset ID,SAS00349
BP00349,Access Line ID,AL000349
BP00349,Circuit ID,CIR000349
BP00350,Asset ID,SAS00350
BP00350,Access Line ID,AL000350
BP00350,Circuit ID,CIR000350
BP00351,Asset ID,SAS00351
BP00351,Access Line ID,AL000351
BP00351,Circuit ID,CIR000351
BP00352,Asset ID,SAS00352
BP00352,Access Line ID,AL000352
BP00352,Circuit ID,CIR000352
BP00353,Asset ID,SAS00353
BP00353,Access Line ID,AL000353
BP00353,Circuit ID,CIR000353
BP00354,Asset ID,SAS00354
BP00354,Access Line ID,AL000354
BP00354,Circuit ID,CIR000354
BP00355,Asset ID,SAS00355
BP00355,Access Line ID,AL000355
BP00355,Circuit ID,CIR000355
BP00356,Asset ID,SAS00356
BP00356,Access Line ID,AL000356
BP00356,Circuit ID,CIR000356
BP00357,Asset ID,SAS00357
BP00357,Access Line ID,AL000357
BP00357,Circuit ID,CIR000357
BP00358,Asset ID,SAS00358
BP00358,Access Line ID,AL000358
BP00358,Circuit ID,CIR000358
BP00359,Asset ID,SAS00359
BP00359,Access Line ID,ALX000359
BP00359,Circuit ID,CIR000359
BP00360,Asset ID,SAS00360
BP00360,Access Line ID,AL000360
BP00360,Circuit ID,CIR000360
BP00361,Asset ID,SAS00361
BP00361,Access Line ID,AL000361
BP00361,Circuit ID,CIR000361
BP00362,Asset ID,SAS00362
BP00362,Access Line ID,AL000362
BP00362,Circuit ID,CIR000362
BP00363,Asset ID,SAS00363
BP00363,Access Line ID,AL000363
BP00363,Circuit ID,CIR000363
BP00364,Asset ID,SAS00364
BP00364,Access Line ID,AL000364
BP00364,Circuit ID,CIR000364
BP00365,Asset ID,SAS00365
BP00365,Access Line ID,AL000365
BP00365,Circuit ID,CIR000365
BP00366,Asset ID,SAS00366
BP00366,Access Line ID,AL000366
BP00366,Circuit ID,CIR000366
BP00367,Asset ID,SAS00367
BP00367,Access Line ID,AL000367
BP00367,Circuit ID,CIR000367
BP00368,Asset ID,SAS00368
BP00368,Access Line ID,AL000368
BP00368,Circuit ID,CIR000368
BP00369,Asset ID,SAS00369
BP00369,Access Line ID,AL000369
BP00369,Circuit ID,CIR000369
BP00370,Asset ID,SAS00370
BP00370,Access Line ID,AL000370
BP00370,Circuit ID,CIR000370
BP00371,Asset ID,SAS00371
BP00371,Access Line ID,AL000371
BP00371,Circuit ID,CIR000371
BP00372,Asset ID,SAS00372
BP00372,Access Line ID,AL000372
BP00372,Circuit ID,CIR000372
BP00373,Asset ID,SAS00373
BP00373,Access Line ID,AL000373
BP00373,Circuit ID,CIR000373
BP00374,Asset ID,SAS00374
BP00374,Access Line ID,AL000374
BP00374,Circuit ID,CIR000374
BP00375,Asset ID,ORPHAN_AS00375
BP00375,Access Line ID,AL000375
BP00375,Circuit ID,CIR000375
BP00376,Asset ID,SAS00376
BP00376,Access Line ID,AL000376
BP00376,Circuit ID,CIR000376
BP00377,Asset ID,SAS00377
BP00377,Access Line ID,AL000377
BP00377,Circuit ID,CIR000377
BP00378,Asset ID,SAS00378
BP00378,Access Line ID,AL000378
BP00378,Circuit ID,CIR000378
BP00379,Asset ID,SAS00379
BP00379,Access Line ID,AL000379
BP00379,Circuit ID,CIR000379
BP00380,Asset ID,SAS00380
BP00380,Access Line ID,AL000380
BP00380,Circuit ID,CIR000380
BP00381,Asset ID,SAS00381
BP00381,Access Line ID,AL000381
BP00381,Circuit ID,CIR000381
BP00382,Asset ID,SAS00382
BP00382,Access Line ID,AL000382
BP00382,Circuit ID,CIR000382
BP00383,Asset ID,SAS00383
BP00383,Access Line ID,AL000383
BP00383,Circuit ID,CIR000383
BP00384,Asset ID,SAS00384
BP00384,Access Line ID,AL000384
BP00384,Circuit ID,CIR000384
BP00385,Asset ID,SAS00385
BP00385,Access Line ID,AL000385
BP00385,Circuit ID,CIR000385
BP00386,Asset ID,SAS00386
BP00386,Access Line ID,AL000386
BP00386,Circuit ID,CIR000386
BP00387,Asset ID,SAS00387
BP00387,Access Line ID,AL000387
BP00387,Circuit ID,CIR000387
BP00388,Asset ID,SAS00388
BP00388,Access Line ID,AL000388
BP00388,Circuit ID,CIR000388
BP00389,Asset ID,SAS00389
BP00389,Access Line ID,AL000389
BP00389,Circuit ID,CIR000389
BP00390,Asset ID,ORPHAN_AS00390
BP00390,Access Line ID,AL000390
BP00390,Circuit ID,CIR000390
BP00391,Asset ID,SAS00391
BP00391,Access Line ID,AL000391
BP00391,Circuit ID,CIR000391
BP00392,Asset ID,SAS00392
BP00392,Access Line ID,AL000392
BP00392,Circuit ID,CIR000392
BP00393,Asset ID,SAS00393
BP00393,Access Line ID,AL000393
BP00393,Circuit ID,CIR000393
BP00394,Asset ID,ORPHAN_AS00394
BP00394,Access Line ID,ALX000394
BP00394,Circuit ID,CIR000394
BP00395,Asset ID,SAS00395
BP00395,Access Line ID,AL000395
BP00395,Circuit ID,CIR000395
BP00396,Asset ID,SAS00396
BP00396,Access Line ID,AL000396
BP00396,Circuit ID,CIR000396
BP00397,Asset ID,SAS00397
BP00397,Access Line ID,AL000397
BP00397,Circuit ID,CIR000397
BP00398,Asset ID,SAS00398
BP00398,Access Line ID,AL000398
BP00398,Circuit ID,CIR000398
BP00399,Asset ID,ORPHAN_AS00399
BP00399,Access Line ID,AL000399
BP00399,Circuit ID,CIR000399
BP00400,Asset ID,SAS00400
BP00400,Access Line ID,AL000400
BP00400,Circuit ID,CIR000400
BP00401,Asset ID,SAS00401
BP00401,Access Line ID,AL000401
BP00401,Circuit ID,CIR000401
BP00402,Asset ID,SAS00402
BP00402,Access Line ID,AL000402
BP00402,Circuit ID,CIR000402
BP00403,Asset ID,SAS00403
BP00403,Access Line ID,ALX000403
BP00403,Circuit ID,CIR000403
BP00404,Asset ID,ORPHAN_AS00404
BP00404,Access Line ID,AL000404
BP00404,Circuit ID,CIR000404
BP00405,Asset ID,ORPHAN_AS00405
BP00405,Access Line ID,AL000405
BP00405,Circuit ID,CIR000405
BP00406,Asset ID,SAS00406
BP00406,Access Line ID,AL000406
BP00406,Circuit ID,CIR000406
BP00407,Asset ID,SAS00407
BP00407,Access Line ID,AL000407
BP00407,Circuit ID,CIR000407
BP00408,Asset ID,SAS00408
BP00408,Access Line ID,AL000408
BP00408,Circuit ID,CIR000408
BP00409,Asset ID,SAS00409
BP00409,Access Line ID,AL000409
BP00409,Circuit ID,CIR000409
BP00410,Asset ID,ORPHAN_AS00410
BP00410,Access Line ID,AL000410
BP00410,Circuit ID,CIR000410
BP00411,Asset ID,ORPHAN_AS00411
BP00411,Access Line ID,AL000411
BP00411,Circuit ID,CIR000411
BP00412,Asset ID,SAS00412
BP00412,Access Line ID,AL000412
BP00412,Circuit ID,CIR000412
BP00413,Asset ID,SAS00413
BP00413,Access Line ID,ALX000413
BP00413,Circuit ID,CIR000413
BP00414,Asset ID,SAS00414
BP00414,Access Line ID,AL000414
BP00414,Circuit ID,CIR000414
BP00415,Asset ID,SAS00415
BP00415,Access Line ID,ALX000415
BP00415,Circuit ID,CIR000415
BP00416,Asset ID,ORPHAN_AS00416
BP00416,Access Line ID,AL000416
BP00416,Circuit ID,CIR000416
BP00417,Asset ID,SAS00417
BP00417,Access Line ID,ALX000417
BP00417,Circuit ID,CIR000417
BP00418,Asset ID,SAS00418
BP00418,Access Line ID,AL000418
BP00418,Circuit ID,CIR000418
BP00419,Asset ID,SAS00419
BP00419,Access Line ID,AL000419
BP00419,Circuit ID,CIR000419
BP00420,Asset ID,SAS00420
BP00420,Access Line ID,AL000420
BP00420,Circuit ID,CIR000420
BP00421,Asset ID,SAS00421
BP00421,Access Line ID,AL000421
BP00421,Circuit ID,CIR000421
BP00422,Asset ID,SAS00422
BP00422,Access Line ID,ALX000422
BP00422,Circuit ID,CIR000422
BP00423,Asset ID,SAS00423
BP00423,Access Line ID,AL000423
BP00423,Circuit ID,CIR000423
BP00424,Asset ID,SAS00424
BP00424,Access Line ID,ALX000424
BP00424,Circuit ID,CIR000424
BP00425,Asset ID,ORPHAN_AS00425
BP00425,Access Line ID,AL000425
BP00425,Circuit ID,CIR000425
BP00426,Asset ID,SAS00426
BP00426,Access Line ID,AL000426
BP00426,Circuit ID,CIR000426
BP00427,Asset ID,SAS00427
BP00427,Access Line ID,AL000427
BP00427,Circuit ID,CIR000427
BP00428,Asset ID,SAS00428
BP00428,Access Line ID,AL000428
BP00428,Circuit ID,CIR000428
BP00429,Asset ID,SAS00429
BP00429,Access Line ID,AL000429
BP00429,Circuit ID,CIR000429
BP00430,Asset ID,SAS00430
BP00430,Access Line ID,AL000430
BP00430,Circuit ID,CIR000430
BP00431,Asset ID,SAS00431
BP00431,Access Line ID,AL000431
BP00431,Circuit ID,CIR000431
BP00432,Asset ID,SAS00432
BP00432,Access Line ID,AL000432
BP00432,Circuit ID,CIR000432
BP00433,Asset ID,SAS00433
BP00433,Access Line ID,AL000433
BP00433,Circuit ID,CIR000433
BP00434,Asset ID,SAS00434
BP00434,Access Line ID,AL000434
BP00434,Circuit ID,CIR000434
BP00435,Asset ID,SAS00435
BP00435,Access Line ID,AL000435
BP00435,Circuit ID,CIR000435
BP00436,Asset ID,SAS00436
BP00436,Access Line ID,AL000436
BP00436,Circuit ID,CIR000436
BP00437,Asset ID,SAS00437
BP00437,Access Line ID,AL000437
BP00437,Circuit ID,CIR000437
BP00438,Asset ID,SAS00438
BP00438,Access Line ID,AL000438
BP00438,Circuit ID,CIR000438
BP00439,Asset ID,SAS00439
BP00439,Access Line ID,AL000439
BP00439,Circuit ID,CIR000439
BP00440,Asset ID,SAS00440
BP00440,Access Line ID,AL000440
BP00440,Circuit ID,CIR000440
BP00441,Asset ID,SAS00441
BP00441,Access Line ID,AL000441
BP00441,Circuit ID,CIR000441
BP00442,Asset ID,SAS00442
BP00442,Access Line ID,AL000442
BP00442,Circuit ID,CIR000442
BP00443,Asset ID,SAS00443
BP00443,Access Line ID,AL000443
BP00443,Circuit ID,CIR000443
BP00444,Asset ID,SAS00444
BP00444,Access Line ID,AL000444
BP00444,Circuit ID,CIR000444
BP00445,Asset ID,SAS00445
BP00445,Access Line ID,AL000445
BP00445,Circuit ID,CIR000445
BP00446,Asset ID,SAS00446
BP00446,Access Line ID,AL000446
BP00446,Circuit ID,CIR000446
BP00447,Asset ID,SAS00447
BP00447,Access Line ID,ALX000447
BP00447,Circuit ID,CIR000447
BP00448,Asset ID,SAS00448
BP00448,Access Line ID,AL000448
BP00448,Circuit ID,CIR000448
BP00449,Asset ID,SAS00449
BP00449,Access Line ID,AL000449
BP00449,Circuit ID,CIR000449
BP00450,Asset ID,SAS00450
BP00450,Access Line ID,AL000450
BP00450,Circuit ID,CIR000450
BP00451,Asset ID,SAS00451
BP00451,Access Line ID,AL000451
BP00451,Circuit ID,CIR000451
BP00452,Asset ID,SAS00452
BP00452,Access Line ID,AL000452
BP00452,Circuit ID,CIR000452
BP00453,Asset ID,ORPHAN_AS00453
BP00453,Access Line ID,AL000453
BP00453,Circuit ID,CIR000453
BP00454,Asset ID,SAS00454
BP00454,Access Line ID,AL000454
BP00454,Circuit ID,CIR000454
BP00455,Asset ID,ORPHAN_AS00455
BP00455,Access Line ID,AL000455
BP00455,Circuit ID,CIR000455
BP00456,Asset ID,SAS00456
BP00456,Access Line ID,ALX000456
BP00456,Circuit ID,CIR000456
BP00457,Asset ID,SAS00457
BP00457,Access Line ID,AL000457
BP00457,Circuit ID,CIR000457
BP00458,Asset ID,SAS00458
BP00458,Access Line ID,AL000458
BP00458,Circuit ID,CIR000458
BP00459,Asset ID,ORPHAN_AS00459
BP00459,Access Line ID,AL000459
BP00459,Circuit ID,CIR000459
BP00460,Asset ID,SAS00460
BP00460,Access Line ID,AL000460
BP00460,Circuit ID,CIR000460
BP00461,Asset ID,SAS00461
BP00461,Access Line ID,AL000461
BP00461,Circuit ID,CIR000461
BP00462,Asset ID,SAS00462
BP00462,Access Line ID,AL000462
BP00462,Circuit ID,CIR000462
BP00463,Asset ID,SAS00463
BP00463,Access Line ID,AL000463
BP00463,Circuit ID,CIR000463
BP00464,Asset ID,SAS00464
BP00464,Access Line ID,AL000464
BP00464,Circuit ID,CIR000464
BP00465,Asset ID,SAS00465
BP00465,Access Line ID,AL000465
BP00465,Circuit ID,CIR000465
BP00466,Asset ID,SAS00466
BP00466,Access Line ID,AL000466
BP00466,Circuit ID,CIR000466
BP00467,Asset ID,SAS00467
BP00467,Access Line ID,AL000467
BP00467,Circuit ID,CIR000467
BP00468,Asset ID,SAS00468
BP00468,Access Line ID,AL000468
BP00468,Circuit ID,CIR000468
BP00469,Asset ID,SAS00469
BP00469,Access Line ID,AL000469
BP00469,Circuit ID,CIR000469
BP00470,Asset ID,SAS00470
BP00470,Access Line ID,AL000470
BP00470,Circuit ID,CIR000470
BP00471,Asset ID,SAS00471
BP00471,Access Line ID,AL000471
BP00471,Circuit ID,CIR000471
BP00472,Asset ID,SAS00472
BP00472,Access Line ID,AL000472
BP00472,Circuit ID,CIR000472
BP00473,Asset ID,SAS00473
BP00473,Access Line ID,AL000473
BP00473,Circuit ID,CIR000473
BP00474,Asset ID,SAS00474
BP00474,Access Line ID,AL000474
BP00474,Circuit ID,CIR000474
BP00475,Asset ID,SAS00475
BP00475,Access Line ID,AL000475
BP00475,Circuit ID,CIR000475
BP00476,Asset ID,SAS00476
BP00476,Access Line ID,AL000476
BP00476,Circuit ID,CIR000476
BP00477,Asset ID,SAS00477
BP00477,Access Line ID,AL000477
BP00477,Circuit ID,CIR000477
BP00478,Asset ID,SAS00478
BP00478,Access Line ID,AL000478
BP00478,Circuit ID,CIR000478
BP00479,Asset ID,SAS00479
BP00479,Access Line ID,AL000479
BP00479,Circuit ID,CIR000479
BP00480,Asset ID,SAS00480
BP00480,Access Line ID,AL000480
BP00480,Circuit ID,CIR000480
BP00481,Asset ID,SAS00481
BP00481,Access Line ID,AL000481
BP00481,Circuit ID,CIR000481
BP00482,Asset ID,SAS00482
BP00482,Access Line ID,AL000482
BP00482,Circuit ID,CIR000482
BP00483,Asset ID,SAS00483
BP00483,Access Line ID,AL000483
BP00483,Circuit ID,CIR000483
BP00484,Asset ID,SAS00484
BP00484,Access Line ID,AL000484
BP00484,Circuit ID,CIR000484
BP00485,Asset ID,ORPHAN_AS00485
BP00485,Access Line ID,AL000485
BP00485,Circuit ID,CIR000485
BP00486,Asset ID,SAS00486
BP00486,Access Line ID,AL000486
BP00486,Circuit ID,CIR000486
BP00487,Asset ID,SAS00487
BP00487,Access Line ID,AL000487
BP00487,Circuit ID,CIR000487
BP00488,Asset ID,ORPHAN_AS00488
BP00488,Access Line ID,AL000488
BP00488,Circuit ID,CIR000488
BP00489,Asset ID,SAS00489
BP00489,Access Line ID,AL000489
BP00489,Circuit ID,CIR000489
BP00490,Asset ID,SAS00490
BP00490,Access Line ID,ALX000490
BP00490,Circuit ID,CIR000490
BP00491,Asset ID,SAS00491
BP00491,Access Line ID,AL000491
BP00491,Circuit ID,CIR000491
BP00492,Asset ID,SAS00492
BP00492,Access Line ID,ALX000492
BP00492,Circuit ID,CIR000492
BP00493,Asset ID,SAS00493
BP00493,Access Line ID,AL000493
BP00493,Circuit ID,CIR000493
BP00494,Asset ID,SAS00494
BP00494,Access Line ID,AL000494
BP00494,Circuit ID,CIR000494
BP00495,Asset ID,SAS00495
BP00495,Access Line ID,AL000495
BP00495,Circuit ID,CIR000495
BP00496,Asset ID,SAS00496
BP00496,Access Line ID,AL000496
BP00496,Circuit ID,CIR000496
BP00497,Asset ID,SAS00497
BP00497,Access Line ID,AL000497
BP00497,Circuit ID,CIR000497
BP00498,Asset ID,SAS00498
BP00498,Access Line ID,AL000498
BP00498,Circuit ID,CIR000498
BP00499,Asset ID,ORPHAN_AS00499
BP00499,Access Line ID,AL000499
BP00499,Circuit ID,CIR000499
BP00500,Asset ID,SAS00500
BP00500,Access Line ID,AL000500
BP00500,Circuit ID,CIR000500
BP00501,Asset ID,SAS00501
BP00501,Access Line ID,AL000501
BP00501,Circuit ID,CIR000501
BP00502,Asset ID,SAS00502
BP00502,Access Line ID,AL000502
BP00502,Circuit ID,CIR000502
BP00503,Asset ID,SAS00503
BP00503,Access Line ID,AL000503
BP00503,Circuit ID,CIR000503
BP00504,Asset ID,SAS00504
BP00504,Access Line ID,AL000504
BP00504,Circuit ID,CIR000504
BP00505,Asset ID,SAS00505
BP00505,Access Line ID,AL000505
BP00505,Circuit ID,CIR000505
BP00506,Asset ID,SAS00506
BP00506,Access Line ID,AL000506
BP00506,Circuit ID,CIR000506
BP00507,Asset ID,SAS00507
BP00507,Access Line ID,AL000507
BP00507,Circuit ID,CIR000507
BP00508,Asset ID,SAS00508
BP00508,Access Line ID,AL000508
BP00508,Circuit ID,CIR000508
BP00509,Asset ID,SAS00509
BP00509,Access Line ID,AL000509
BP00509,Circuit ID,CIR000509
BP00510,Asset ID,SAS00510
BP00510,Access Line ID,AL000510
BP00510,Circuit ID,CIR000510
BP00511,Asset ID,SAS00511
BP00511,Access Line ID,AL000511
BP00511,Circuit ID,CIR000511
BP00512,Asset ID,SAS00512
BP00512,Access Line ID,AL000512
BP00512,Circuit ID,CIR000512
BP00513,Asset ID,SAS00513
BP00513,Access Line ID,AL000513
BP00513,Circuit ID,CIR000513
BP00514,Asset ID,SAS00514
BP00514,Access Line ID,AL000514
BP00514,Circuit ID,CIR000514
BP00515,Asset ID,SAS00515
BP00515,Access Line ID,AL000515
BP00515,Circuit ID,CIR000515
BP00516,Asset ID,SAS00516
BP00516,Access Line ID,AL000516
BP00516,Circuit ID,CIR000516
BP00517,Asset ID,SAS00517
BP00517,Access Line ID,AL000517
BP00517,Circuit ID,CIR000517
BP00518,Asset ID,SAS00518
BP00518,Access Line ID,AL000518
BP00518,Circuit ID,CIR000518
BP00519,Asset ID,SAS00519
BP00519,Access Line ID,AL000519
BP00519,Circuit ID,CIR000519
BP00520,Asset ID,SAS00520
BP00520,Access Line ID,AL000520
BP00520,Circuit ID,CIR000520
BP00521,Asset ID,SAS00521
BP00521,Access Line ID,AL000521
BP00521,Circuit ID,CIR000521
BP00522,Asset ID,SAS00522
BP00522,Access Line ID,AL000522
BP00522,Circuit ID,CIR000522
BP00523,Asset ID,SAS00523
BP00523,Access Line ID,AL000523
BP00523,Circuit ID,CIR000523
BP00524,Asset ID,SAS00524
BP00524,Access Line ID,AL000524
BP00524,Circuit ID,CIR000524
BP00525,Asset ID,SAS00525
BP00525,Access Line ID,AL000525
BP00525,Circuit ID,CIR000525
BP00526,Asset ID,SAS00526
BP00526,Access Line ID,AL000526
BP00526,Circuit ID,CIR000526
BP00527,Asset ID,SAS00527
BP00527,Access Line ID,AL000527
BP00527,Circuit ID,CIR000527
BP00528,Asset ID,SAS00528
BP00528,Access Line ID,AL000528
BP00528,Circuit ID,CIR000528
BP00529,Asset ID,SAS00529
BP00529,Access Line ID,AL000529
BP00529,Circuit ID,CIR000529
BP00530,Asset ID,SAS00530
BP00530,Access Line ID,AL000530
BP00530,Circuit ID,CIR000530
BP00531,Asset ID,SAS00531
BP00531,Access Line ID,AL000531
BP00531,Circuit ID,CIR000531
BP00532,Asset ID,SAS00532
