css_service_id,attribute_name,attribute_value
CSSS00193,Circuit ID,CIR000193
CSSS00193,Technology Type,Copper
SAS00194,Asset ID,SAS00194
SAS00194,Access Line ID,AL000194
SAS00194,Circuit ID,CIR000194
SAS00194,Technology Type,FTTC
SAS00195,Asset ID,SAS00195
SAS00195,Access Line ID,AL000195
SAS00195,Circuit ID,CIR000195
SAS00195,Technology Type,FTTC
SAS00196,Asset ID,SAS00196
SAS00196,Access Line ID,AL000196
SAS00196,Circuit ID,CIR000196
SAS00196,Technology Type,Copper
SAS00197,Asset ID,SAS00197
SAS00197,Access Line ID,AL000197
SAS00197,Circuit ID,CIR000197
SAS00197,Technology Type,FTTP
SAS00198,Asset ID,SAS00198
SAS00198,Access Line ID,AL000198
SAS00198,Circuit ID,CIR000198
SAS00198,Technology Type,Copper
SAS00199,Asset ID,SAS00199
SAS00199,Access Line ID,AL000199
SAS00199,Circuit ID,CIR000199
SAS00199,Technology Type,Copper
SAS00200,Asset ID,SAS00200
SAS00200,Access Line ID,AL000200
SAS00200,Circuit ID,CIR000200
SAS00200,Technology Type,FTTC
SAS00201,Asset ID,SAS00201
SAS00201,Access Line ID,AL000201
SAS00201,Circuit ID,CIR000201
SAS00201,Technology Type,Copper
SAS00202,Asset ID,SAS00202
SAS00202,Access Line ID,AL000202
SAS00202,Circuit ID,CIR000202
SAS00202,Technology Type,FTTP
SAS00203,Asset ID,SAS00203
SAS00203,Access Line ID,AL000203
SAS00203,Circuit ID,CIR000203
SAS00203,Technology Type,FTTC
SAS00204,Asset ID,SAS00204
SAS00204,Access Line ID,AL000204
SAS00204,Circuit ID,CIR000204
SAS00204,Technology Type,FTTP
CSSS00205,Asset ID,SAS00205
CSSS00205,Access Line ID,AL000205
CSSS00205,Circuit ID,CIR000205
CSSS00205,Technology Type,Copper
SAS00206,Asset ID,SAS00206
SAS00206,Access Line ID,AL000206
SAS00206,Circuit ID,CIR000206
SAS00206,Technology Type,Copper
SAS00207,Asset ID,SAS00207
SAS00207,Access Line ID,AL000207
SAS00207,Circuit ID,CIR000207
SAS00207,Technology Type,FTTC
SAS00208,Asset ID,SAS00208
SAS00208,Access Line ID,AL000208
SAS00208,Circuit ID,CIR000208
SAS00208,Technology Type,FTTP
SAS00209,Asset ID,SAS00209
SAS00209,Access Line ID,AL000209
SAS00209,Circuit ID,CIR000209
SAS00209,Technology Type,FTTC
SAS00210,Asset ID,SAS00210
SAS00210,Access Line ID,AL000210
SAS00210,Circuit ID,CIR000210
SAS00210,Technology Type,Copper
CSSS00211,Asset ID,SAS00211
CSSS00211,Access Line ID,AL000211
CSSS00211,Circuit ID,CIR000211
CSSS00211,Technology Type,Copper
CSSS00212,Asset ID,SAS00212
CSSS00212,Access Line ID,AL000212
CSSS00212,Circuit ID,CIR000212
CSSS00212,Technology Type,FTTP
SAS00213,Asset ID,SAS00213
SAS00213,Access Line ID,AL000213
SAS00213,Circuit ID,CIR000213
SAS00213,Technology Type,Copper
SAS00214,Asset ID,SAS00214
SAS00214,Access Line ID,AL000214
SAS00214,Circuit ID,CIR000214
SAS00214,Technology Type,FTTP
SAS00215,Asset ID,SAS00215
SAS00215,Access Line ID,AL000215
SAS00215,Circuit ID,CIR000215
SAS00215,Technology Type,FTTP
SAS00216,Asset ID,SAS00216
SAS00216,Access Line ID,AL000216
SAS00216,Circuit ID,CIR000216
SAS00216,Technology Type,FTTC
SAS00217,Asset ID,SAS00217
SAS00217,Access Line ID,AL000217
SAS00217,Circuit ID,CIR000217
SAS00217,Technology Type,Copper
SAS00218,Asset ID,SAS00218
SAS00218,Access Line ID,AL000218
SAS00218,Circuit ID,CIR000218
SAS00218,Technology Type,FTTP
SAS00219,Asset ID,SAS00219
SAS00219,Access Line ID,AL000219
SAS00219,Circuit ID,CIR000219
SAS00219,Technology Type,Copper
CSSS00220,Asset ID,SAS00220
CSSS00220,Access Line ID,AL000220
CSSS00220,Circuit ID,CIR000220
CSSS00220,Technology Type,FTTP
SAS00221,Asset ID,SAS00221
SAS00221,Access Line ID,AL000221
SAS00221,Circuit ID,CIR000221
SAS00221,Technology Type,FTTP
SAS00222,Asset ID,SAS00222
SAS00222,Access Line ID,AL000222
SAS00222,Circuit ID,CIR000222
SAS00222,Technology Type,Copper
SAS00223,Asset ID,SAS00223
SAS00223,Access Line ID,AL000223
SAS00223,Circuit ID,CIR000223
SAS00223,Technology Type,FTTP
SAS00224,Asset ID,SAS00224
SAS00224,Access Line ID,AL000224
SAS00224,Circuit ID,CIR000224
SAS00224,Technology Type,FTTP
SAS00225,Asset ID,SAS00225
SAS00225,Access Line ID,AL000225
SAS00225,Circuit ID,CIR000225
SAS00225,Technology Type,Copper
SAS00226,Asset ID,SAS00226
SAS00226,Access Line ID,AL000226
SAS00226,Circuit ID,CIR000226
SAS00226,Technology Type,FTTC
SAS00227,Asset ID,SAS00227
SAS00227,Access Line ID,AL000227
SAS00227,Circuit ID,CIR000227
SAS00227,Technology Type,FTTP
SAS00228,Asset ID,SAS00228
SAS00228,Access Line ID,AL000228
SAS00228,Circuit ID,CIR000228
SAS00228,Technology Type,Copper
SAS00229,Asset ID,SAS00229
SAS00229,Access Line ID,AL000229
SAS00229,Circuit ID,CIR000229
SAS00229,Technology Type,FTTC
SAS00230,Asset ID,SAS00230
SAS00230,Access Line ID,AL000230
SAS00230,Circuit ID,CIR000230
SAS00230,Technology Type,FTTC
SAS00231,Asset ID,SAS00231
SAS00231,Access Line ID,AL000231
SAS00231,Circuit ID,CIR000231
SAS00231,Technology Type,Copper
CSSS00232,Asset ID,SAS00232
CSSS00232,Access Line ID,AL000232
CSSS00232,Circuit ID,CIR000232
CSSS00232,Technology Type,FTTP
SAS00233,Asset ID,SAS00233
SAS00233,Access Line ID,AL000233
SAS00233,Circuit ID,CIR000233
SAS00233,Technology Type,FTTP
SAS00234,Asset ID,SAS00234
SAS00234,Access Line ID,AL000234
SAS00234,Circuit ID,CIR000234
SAS00234,Technology Type,FTTP
SAS00235,Asset ID,SAS00235
SAS00235,Access Line ID,AL000235
SAS00235,Circuit ID,CIR000235
SAS00235,Technology Type,Copper
SAS00236,Asset ID,SAS00236
SAS00236,Access Line ID,AL000236
SAS00236,Circuit ID,CIR000236
SAS00236,Technology Type,FTTP
SAS00237,Asset ID,SAS00237
SAS00237,Access Line ID,AL000237
SAS00237,Circuit ID,CIR000237
SAS00237,Technology Type,FTTP
SAS00238,Asset ID,SAS00238
SAS00238,Access Line ID,AL000238
SAS00238,Circuit ID,CIR000238
SAS00238,Technology Type,Copper
SAS00239,Asset ID,SAS00239
SAS00239,Access Line ID,AL000239
SAS00239,Circuit ID,CIR000239
SAS00239,Technology Type,FTTC
SAS00240,Asset ID,SAS00240
SAS00240,Access Line ID,AL000240
SAS00240,Circuit ID,CIR000240
SAS00240,Technology Type,Copper
SAS00241,Asset ID,SAS00241
SAS00241,Access Line ID,AL000241
SAS00241,Circuit ID,CIR000241
SAS00241,Technology Type,FTTP
CSSS00242,Asset ID,SAS00242
CSSS00242,Access Line ID,AL000242
CSSS00242,Circuit ID,CIR000242
CSSS00242,Technology Type,FTTC
SAS00243,Asset ID,SAS00243
SAS00243,Access Line ID,AL000243
SAS00243,Circuit ID,CIR000243
SAS00243,Technology Type,FTTP
SAS00244,Asset ID,SAS00244
SAS00244,Access Line ID,AL000244
SAS00244,Circuit ID,CIR000244
SAS00244,Technology Type,FTTC
SAS00245,Asset ID,SAS00245
SAS00245,Access Line ID,AL000245
SAS00245,Circuit ID,CIR000245
SAS00245,Technology Type,FTTC
SAS00246,Asset ID,SAS00246
SAS00246,Access Line ID,AL000246
SAS00246,Circuit ID,CIR000246
SAS00246,Technology Type,FTTP
SAS00247,Asset ID,SAS00247
SAS00247,Access Line ID,AL000247
SAS00247,Circuit ID,CIR000247
SAS00247,Technology Type,FTTP
SAS00248,Asset ID,SAS00248
SAS00248,Access Line ID,AL000248
SAS00248,Circuit ID,CIR000248
SAS00248,Technology Type,FTTC
CSSS00249,Asset ID,SAS00249
CSSS00249,Access Line ID,AL000249
CSSS00249,Circuit ID,CIR000249
CSSS00249,Technology Type,Copper
SAS00250,Asset ID,SAS00250
SAS00250,Access Line ID,AL000250
SAS00250,Circuit ID,CIR000250
SAS00250,Technology Type,Copper
SAS00251,Asset ID,SAS00251
SAS00251,Access Line ID,AL000251
SAS00251,Circuit ID,CIR000251
SAS00251,Technology Type,FTTP
SAS00252,Asset ID,SAS00252
SAS00252,Access Line ID,AL000252
SAS00252,Circuit ID,CIR000252
SAS00252,Technology Type,FTTC
SAS00253,Asset ID,SAS00253
SAS00253,Access Line ID,AL000253
SAS00253,Circuit ID,CIR000253
SAS00253,Technology Type,FTTP
SAS00254,Asset ID,SAS00254
SAS00254,Access Line ID,AL000254
SAS00254,Circuit ID,CIR000254
SAS00254,Technology Type,FTTC
SAS00255,Asset ID,SAS00255
SAS00255,Access Line ID,AL000255
SAS00255,Circuit ID,CIR000255
SAS00255,Technology Type,FTTP
SAS00256,Asset ID,SAS00256
SAS00256,Access Line ID,AL000256
SAS00256,Circuit ID,CIR000256
SAS00256,Technology Type,Copper
SAS00257,Asset ID,SAS00257
SAS00257,Access Line ID,AL000257
SAS00257,Circuit ID,CIR000257
SAS00257,Technology Type,FTTP
SAS00258,Asset ID,SAS00258
SAS00258,Access Line ID,AL000258
SAS00258,Circuit ID,CIR000258
SAS00258,Technology Type,FTTP
SAS00259,Asset ID,SAS00259
SAS00259,Access Line ID,AL000259
SAS00259,Circuit ID,CIR000259
SAS00259,Technology Type,Copper
SAS00260,Asset ID,SAS00260
SAS00260,Access Line ID,AL000260
SAS00260,Circuit ID,CIR000260
SAS00260,Technology Type,FTTP
SAS00261,Asset ID,SAS00261
SAS00261,Access Line ID,AL000261
SAS00261,Circuit ID,CIR000261
SAS00261,Technology Type,FTTC
SAS00262,Asset ID,SAS00262
SAS00262,Access Line ID,AL000262
SAS00262,Circuit ID,CIR000262
SAS00262,Technology Type,FTTC
CSSS00263,Asset ID,SAS00263
CSSS00263,Access Line ID,AL000263
CSSS00263,Circuit ID,CIR000263
CSSS00263,Technology Type,FTTC
SAS00264,Asset ID,SAS00264
SAS00264,Access Line ID,AL000264
SAS00264,Circuit ID,CIR000264
SAS00264,Technology Type,Copper
SAS00265,Asset ID,SAS00265
SAS00265,Access Line ID,AL000265
SAS00265,Circuit ID,CIR000265
SAS00265,Technology Type,FTTP
SAS00266,Asset ID,SAS00266
SAS00266,Access Line ID,AL000266
SAS00266,Circuit ID,CIR000266
SAS00266,Technology Type,FTTP
CSSS00267,Asset ID,SAS00267
CSSS00267,Access Line ID,AL000267
CSSS00267,Circuit ID,CIR000267
CSSS00267,Technology Type,FTTP
SAS00268,Asset ID,SAS00268
SAS00268,Access Line ID,AL000268
SAS00268,Circuit ID,CIR000268
SAS00268,Technology Type,FTTP
SAS00269,Asset ID,SAS00269
SAS00269,Access Line ID,AL000269
SAS00269,Circuit ID,CIR000269
SAS00269,Technology Type,FTTC
SAS00270,Asset ID,SAS00270
SAS00270,Access Line ID,AL000270
SAS00270,Circuit ID,CIR000270
SAS00270,Technology Type,Copper
SAS00271,Asset ID,SAS00271
SAS00271,Access Line ID,AL000271
SAS00271,Circuit ID,CIR000271
SAS00271,Technology Type,FTTP
CSSS00272,Asset ID,SAS00272
CSSS00272,Access Line ID,AL000272
CSSS00272,Circuit ID,CIR000272
CSSS00272,Technology Type,FTTC
SAS00273,Asset ID,SAS00273
SAS00273,Access Line ID,AL000273
SAS00273,Circuit ID,CIR000273
SAS00273,Technology Type,FTTP
SAS00274,Asset ID,SAS00274
SAS00274,Access Line ID,AL000274
SAS00274,Circuit ID,CIR000274
SAS00274,Technology Type,FTTC
SAS00275,Asset ID,SAS00275
SAS00275,Access Line ID,AL000275
SAS00275,Circuit ID,CIR000275
SAS00275,Technology Type,FTTP
SAS00276,Asset ID,SAS00276
SAS00276,Access Line ID,AL000276
SAS00276,Circuit ID,CIR000276
SAS00276,Technology Type,Copper
SAS00277,Asset ID,SAS00277
SAS00277,Access Line ID,AL000277
SAS00277,Circuit ID,CIR000277
SAS00277,Technology Type,FTTP
SAS00278,Asset ID,SAS00278
SAS00278,Access Line ID,AL000278
SAS00278,Circuit ID,CIR000278
SAS00278,Technology Type,FTTP
SAS00279,Asset ID,SAS00279
SAS00279,Access Line ID,AL000279
SAS00279,Circuit ID,CIR000279
SAS00279,Technology Type,FTTP
SAS00280,Asset ID,SAS00280
SAS00280,Access Line ID,AL000280
SAS00280,Circuit ID,CIR000280
SAS00280,Technology Type,Copper
SAS00281,Asset ID,SAS00281
SAS00281,Access Line ID,AL000281
SAS00281,Circuit ID,CIR000281
SAS00281,Technology Type,Copper
CSSS00282,Asset ID,SAS00282
CSSS00282,Access Line ID,AL000282
CSSS00282,Circuit ID,CIR000282
CSSS00282,Technology Type,FTTP
SAS00283,Asset ID,SAS00283
SAS00283,Access Line ID,AL000283
SAS00283,Circuit ID,CIR000283
SAS00283,Technology Type,Copper
SAS00284,Asset ID,SAS00284
SAS00284,Access Line ID,AL000284
SAS00284,Circuit ID,CIR000284
SAS00284,Technology Type,FTTC
CSSS00285,Asset ID,SAS00285
CSSS00285,Access Line ID,AL000285
CSSS00285,Circuit ID,CIR000285
CSSS00285,Technology Type,FTTC
SAS00286,Asset ID,SAS00286
SAS00286,Access Line ID,AL000286
SAS00286,Circuit ID,CIR000286
SAS00286,Technology Type,FTTC
SAS00287,Asset ID,SAS00287
SAS00287,Access Line ID,AL000287
SAS00287,Circuit ID,CIR000287
SAS00287,Technology Type,FTTC
SAS00288,Asset ID,SAS00288
SAS00288,Access Line ID,AL000288
SAS00288,Circuit ID,CIR000288
SAS00288,Technology Type,Copper
SAS00289,Asset ID,SAS00289
SAS00289,Access Line ID,AL000289
SAS00289,Circuit ID,CIR000289
SAS00289,Technology Type,FTTP
SAS00290,Asset ID,SAS00290
SAS00290,Access Line ID,AL000290
SAS00290,Circuit ID,CIR000290
SAS00290,Technology Type,FTTP
CSSS00291,Asset ID,SAS00291
CSSS00291,Access Line ID,AL000291
CSSS00291,Circuit ID,CIR000291
CSSS00291,Technology Type,Copper
SAS00292,Asset ID,SAS00292
SAS00292,Access Line ID,AL000292
SAS00292,Circuit ID,CIR000292
SAS00292,Technology Type,Copper
CSSS00293,Asset ID,SAS00293
CSSS00293,Access Line ID,AL000293
CSSS00293,Circuit ID,CIR000293
CSSS00293,Technology Type,Copper
SAS00294,Asset ID,SAS00294
SAS00294,Access Line ID,AL000294
SAS00294,Circuit ID,CIR000294
SAS00294,Technology Type,FTTP
SAS00295,Asset ID,SAS00295
SAS00295,Access Line ID,AL000295
SAS00295,Circuit ID,CIR000295
SAS00295,Technology Type,Copper
SAS00296,Asset ID,SAS00296
SAS00296,Access Line ID,AL000296
SAS00296,Circuit ID,CIR000296
SAS00296,Technology Type,FTTC
SAS00297,Asset ID,SAS00297
SAS00297,Access Line ID,AL000297
SAS00297,Circuit ID,CIR000297
SAS00297,Technology Type,FTTC
CSSS00298,Asset ID,SAS00298
CSSS00298,Access Line ID,AL000298
CSSS00298,Circuit ID,CIR000298
CSSS00298,Technology Type,Copper
SAS00299,Asset ID,SAS00299
SAS00299,Access Line ID,AL000299
SAS00299,Circuit ID,CIR000299
SAS00299,Technology Type,FTTP
CSSS00300,Asset ID,SAS00300
CSSS00300,Access Line ID,AL000300
CSSS00300,Circuit ID,CIR000300
CSSS00300,Technology Type,FTTC
SAS00301,Asset ID,SAS00301
SAS00301,Access Line ID,AL000301
SAS00301,Circuit ID,CIR000301
SAS00301,Technology Type,FTTC
SAS00302,Asset ID,SAS00302
SAS00302,Access Line ID,AL000302
SAS00302,Circuit ID,CIR000302
SAS00302,Technology Type,FTTP
SAS00303,Asset ID,SAS00303
SAS00303,Access Line ID,AL000303
SAS00303,Circuit ID,CIR000303
SAS00303,Technology Type,Copper
CSSS00304,Asset ID,SAS00304
CSSS00304,Access Line ID,AL000304
CSSS00304,Circuit ID,CIR000304
CSSS00304,Technology Type,FTTP
SAS00305,Asset ID,SAS00305
SAS00305,Access Line ID,AL000305
SAS00305,Circuit ID,CIR000305
SAS00305,Technology Type,FTTP
SAS00306,Asset ID,SAS00306
SAS00306,Access Line ID,AL000306
SAS00306,Circuit ID,CIR000306
SAS00306,Technology Type,FTTP
SAS00307,Asset ID,SAS00307
SAS00307,Access Line ID,AL000307
SAS00307,Circuit ID,CIR000307
SAS00307,Technology Type,FTTP
SAS00308,Asset ID,SAS00308
SAS00308,Access Line ID,AL000308
SAS00308,Circuit ID,CIR000308
SAS00308,Technology Type,Copper
CSSS00309,Asset ID,SAS00309
CSSS00309,Access Line ID,AL000309
CSSS00309,Circuit ID,CIR000309
CSSS00309,Technology Type,Copper
SAS00310,Asset ID,SAS00310
SAS00310,Access Line ID,AL000310
SAS00310,Circuit ID,CIR000310
SAS00310,Technology Type,FTTP
SAS00311,Asset ID,SAS00311
SAS00311,Access Line ID,AL000311
SAS00311,Circuit ID,CIR000311
SAS00311,Technology Type,FTTC
CSSS00312,Asset ID,SAS00312
CSSS00312,Access Line ID,AL000312
CSSS00312,Circuit ID,CIR000312
CSSS00312,Technology Type,Copper
CSSS00313,Asset ID,SAS00313
CSSS00313,Access Line ID,AL000313
CSSS00313,Circuit ID,CIR000313
CSSS00313,Technology Type,FTTC
SAS00314,Asset ID,SAS00314
SAS00314,Access Line ID,AL000314
SAS00314,Circuit ID,CIR000314
SAS00314,Technology Type,FTTP
SAS00315,Asset ID,SAS00315
SAS00315,Access Line ID,AL000315
SAS00315,Circuit ID,CIR000315
SAS00315,Technology Type,FTTP
SAS00316,Asset ID,SAS00316
SAS00316,Access Line ID,AL000316
SAS00316,Circuit ID,CIR000316
SAS00316,Technology Type,FTTP
CSSS00317,Asset ID,SAS00317
CSSS00317,Access Line ID,AL000317
CSSS00317,Circuit ID,CIR000317
CSSS00317,Technology Type,FTTP
SAS00318,Asset ID,SAS00318
SAS00318,Access Line ID,AL000318
SAS00318,Circuit ID,CIR000318
SAS00318,Technology Type,FTTP
CSSS00319,Asset ID,SAS00319
CSSS00319,Access Line ID,AL000319
CSSS00319,Circuit ID,CIR000319
CSSS00319,Technology Type,FTTC
SAS00320,Asset ID,SAS00320
SAS00320,Access Line ID,AL000320
SAS00320,Circuit ID,CIR000320
SAS00320,Technology Type,Copper
SAS00321,Asset ID,SAS00321
SAS00321,Access Line ID,AL000321
SAS00321,Circuit ID,CIR000321
SAS00321,Technology Type,FTTP
SAS00322,Asset ID,SAS00322
SAS00322,Access Line ID,AL000322
SAS00322,Circuit ID,CIR000322
SAS00322,Technology Type,FTTP
SAS00323,Asset ID,SAS00323
SAS00323,Access Line ID,AL000323
SAS00323,Circuit ID,CIR000323
SAS00323,Technology Type,FTTP
SAS00324,Asset ID,SAS00324
SAS00324,Access Line ID,AL000324
SAS00324,Circuit ID,CIR000324
SAS00324,Technology Type,Copper
SAS00325,Asset ID,SAS00325
SAS00325,Access Line ID,AL000325
SAS00325,Circuit ID,CIR000325
SAS00325,Technology Type,Copper
SAS00326,Asset ID,SAS00326
SAS00326,Access Line ID,AL000326
SAS00326,Circuit ID,CIR000326
SAS00326,Technology Type,FTTP
SAS00327,Asset ID,SAS00327
SAS00327,Access Line ID,AL000327
SAS00327,Circuit ID,CIR000327
SAS00327,Technology Type,Copper
SAS00328,Asset ID,SAS00328
SAS00328,Access Line ID,AL000328
SAS00328,Circuit ID,CIR000328
SAS00328,Technology Type,FTTP
SAS00329,Asset ID,SAS00329
SAS00329,Access Line ID,AL000329
SAS00329,Circuit ID,CIR000329
SAS00329,Technology Type,FTTP
SAS00330,Asset ID,SAS00330
SAS00330,Access Line ID,AL000330
SAS00330,Circuit ID,CIR000330
SAS00330,Technology Type,Copper
SAS00331,Asset ID,SAS00331
SAS00331,Access Line ID,AL000331
SAS00331,Circuit ID,CIR000331
SAS00331,Technology Type,FTTP
SAS00332,Asset ID,SAS00332
SAS00332,Access Line ID,AL000332
SAS00332,Circuit ID,CIR000332
SAS00332,Technology Type,FTTC
SAS00333,Asset ID,SAS00333
SAS00333,Access Line ID,AL000333
SAS00333,Circuit ID,CIR000333
SAS00333,Technology Type,FTTP
SAS00334,Asset ID,SAS00334
SAS00334,Access Line ID,AL000334
SAS00334,Circuit ID,CIR000334
SAS00334,Technology Type,FTTP
SAS00335,Asset ID,SAS00335
SAS00335,Access Line ID,AL000335
SAS00335,Circuit ID,CIR000335
SAS00335,Technology Type,Copper
SAS00336,Asset ID,SAS00336
SAS00336,Access Line ID,AL000336
SAS00336,Circuit ID,CIR000336
SAS00336,Technology Type,FTTC
SAS00337,Asset ID,SAS00337
SAS00337,Access Line ID,AL000337
SAS00337,Circuit ID,CIR000337
SAS00337,Technology Type,FTTC
SAS00338,Asset ID,SAS00338
SAS00338,Access Line ID,AL000338
SAS00338,Circuit ID,CIR000338
SAS00338,Technology Type,FTTP
SAS00339,Asset ID,SAS00339
SAS00339,Access Line ID,AL000339
SAS00339,Circuit ID,CIR000339
SAS00339,Technology Type,Copper
SAS00340,Asset ID,SAS00340
SAS00340,Access Line ID,AL000340
SAS00340,Circuit ID,CIR000340
SAS00340,Technology Type,FTTC
SAS00341,Asset ID,SAS00341
SAS00341,Access Line ID,AL000341
SAS00341,Circuit ID,CIR000341
SAS00341,Technology Type,FTTC
SAS00342,Asset ID,SAS00342
SAS00342,Access Line ID,AL000342
SAS00342,Circuit ID,CIR000342
SAS00342,Technology Type,FTTC
SAS00343,Asset ID,SAS00343
SAS00343,Access Line ID,AL000343
SAS00343,Circuit ID,CIR000343
SAS00343,Technology Type,FTTP
CSSS00344,Asset ID,SAS00344
CSSS00344,Access Line ID,AL000344
CSSS00344,Circuit ID,CIR000344
CSSS00344,Technology Type,FTTP
CSSS00345,Asset ID,SAS00345
CSSS00345,Access Line ID,AL000345
CSSS00345,Circuit ID,CIR000345
CSSS00345,Technology Type,Copper
SAS00346,Asset ID,SAS00346
SAS00346,Access Line ID,AL000346
SAS00346,Circuit ID,CIR000346
SAS00346,Technology Type,FTTC
SAS00347,Asset ID,SAS00347
SAS00347,Access Line ID,AL000347
SAS00347,Circuit ID,CIR000347
SAS00347,Technology Type,FTTC
SAS00348,Asset ID,SAS00348
SAS00348,Access Line ID,AL000348
SAS00348,Circuit ID,CIR000348
SAS00348,Technology Type,Copper
SAS00349,Asset ID,SAS00349
SAS00349,Access Line ID,AL000349
SAS00349,Circuit ID,CIR000349
SAS00349,Technology Type,FTTP
SAS00350,Asset ID,SAS00350
SAS00350,Access Line ID,AL000350
SAS00350,Circuit ID,CIR000350
SAS00350,Technology Type,FTTC
SAS00351,Asset ID,SAS00351
SAS00351,Access Line ID,AL000351
SAS00351,Circuit ID,CIR000351
SAS00351,Technology Type,Copper
CSSS00352,Asset ID,SAS00352
CSSS00352,Access Line ID,AL000352
CSSS00352,Circuit ID,CIR000352
CSSS00352,Technology Type,Copper
SAS00353,Asset ID,SAS00353
SAS00353,Access Line ID,AL000353
SAS00353,Circuit ID,CIR000353
SAS00353,Technology Type,FTTC
SAS00354,Asset ID,SAS00354
SAS00354,Access Line ID,AL000354
SAS00354,Circuit ID,CIR000354
SAS00354,Technology Type,FTTP
CSSS00355,Asset ID,SAS00355
CSSS00355,Access Line ID,AL000355
CSSS00355,Circuit ID,CIR000355
CSSS00355,Technology Type,Copper
SAS00356,Asset ID,SAS00356
SAS00356,Access Line ID,AL000356
SAS00356,Circuit ID,CIR000356
SAS00356,Technology Type,FTTC
SAS00357,Asset ID,SAS00357
SAS00357,Access Line ID,AL000357
SAS00357,Circuit ID,CIR000357
SAS00357,Technology Type,FTTC
SAS00358,Asset ID,SAS00358
SAS00358,Access Line ID,AL000358
SAS00358,Circuit ID,CIR000358
SAS00358,Technology Type,FTTC
SAS00359,Asset ID,SAS00359
SAS00359,Access Line ID,AL000359
SAS00359,Circuit ID,CIR000359
SAS00359,Technology Type,FTTC
CSSS00360,Asset ID,SAS00360
CSSS00360,Access Line ID,AL000360
CSSS00360,Circuit ID,CIR000360
CSSS00360,Technology Type,Copper
SAS00361,Asset ID,SAS00361
SAS00361,Access Line ID,AL000361
SAS00361,Circuit ID,CIR000361
SAS00361,Technology Type,FTTC
CSSS00362,Asset ID,SAS00362
CSSS00362,Access Line ID,AL000362
CSSS00362,Circuit ID,CIR000362
CSSS00362,Technology Type,FTTC
SAS00363,Asset ID,SAS00363
SAS00363,Access Line ID,AL000363
SAS00363,Circuit ID,CIR000363
SAS00363,Technology Type,FTTC
SAS00364,Asset ID,SAS00364
SAS00364,Access Line ID,AL000364
SAS00364,Circuit ID,CIR000364
SAS00364,Technology Type,FTTC
CSSS00365,Asset ID,SAS00365
CSSS00365,Access Line ID,AL000365
CSSS00365,Circuit ID,CIR000365
CSSS00365,Technology Type,Copper
SAS00366,Asset ID,SAS00366
SAS00366,Access Line ID,AL000366
SAS00366,Circuit ID,CIR000366
SAS00366,Technology Type,FTTC
SAS00367,Asset ID,SAS00367
SAS00367,Access Line ID,AL000367
SAS00367,Circuit ID,CIR000367
SAS00367,Technology Type,FTTP
SAS00368,Asset ID,SAS00368
SAS00368,Access Line ID,AL000368
SAS00368,Circuit ID,CIR000368
SAS00368,Technology Type,FTTP
SAS00369,Asset ID,SAS00369
SAS00369,Access Line ID,AL000369
SAS00369,Circuit ID,CIR000369
SAS00369,Technology Type,FTTP
SAS00370,Asset ID,SAS00370
SAS00370,Access Line ID,AL000370
SAS00370,Circuit ID,CIR000370
SAS00370,Technology Type,FTTC
SAS00371,Asset ID,SAS00371
SAS00371,Access Line ID,AL000371
SAS00371,Circuit ID,CIR000371
SAS00371,Technology Type,Copper
SAS00372,Asset ID,SAS00372
SAS00372,Access Line ID,AL000372
SAS00372,Circuit ID,CIR000372
SAS00372,Technology Type,FTTP
SAS00373,Asset ID,SAS00373
SAS00373,Access Line ID,AL000373
SAS00373,Circuit ID,CIR000373
SAS00373,Technology Type,FTTP
SAS00374,Asset ID,SAS00374
SAS00374,Access Line ID,AL000374
SAS00374,Circuit ID,CIR000374
SAS00374,Technology Type,Copper
SAS00375,Asset ID,SAS00375
SAS00375,Access Line ID,AL000375
SAS00375,Circuit ID,CIR000375
SAS00375,Technology Type,Copper
SAS00376,Asset ID,SAS00376
SAS00376,Access Line ID,AL000376
SAS00376,Circuit ID,CIR000376
SAS00376,Technology Type,Copper
SAS00377,Asset ID,SAS00377
SAS00377,Access Line ID,AL000377
SAS00377,Circuit ID,CIR000377
SAS00377,Technology Type,Copper
CSSS00378,Asset ID,SAS00378
CSSS00378,Access Line ID,AL000378
CSSS00378,Circuit ID,CIR000378
CSSS00378,Technology Type,FTTP
SAS00379,Asset ID,SAS00379
SAS00379,Access Line ID,AL000379
SAS00379,Circuit ID,CIR000379
SAS00379,Technology Type,FTTC
SAS00380,Asset ID,SAS00380
SAS00380,Access Line ID,AL000380
SAS00380,Circuit ID,CIR000380
SAS00380,Technology Type,Copper
SAS00381,Asset ID,SAS00381
SAS00381,Access Line ID,AL000381
SAS00381,Circuit ID,CIR000381
SAS00381,Technology Type,FTTP
SAS00382,Asset ID,SAS00382
SAS00382,Access Line ID,AL000382
SAS00382,Circuit ID,CIR000382
SAS00382,Technology Type,FTTP
SAS00383,Asset ID,SAS00383
SAS00383,Access Line ID,AL000383
SAS00383,Circuit ID,CIR000383
SAS00383,Technology Type,FTTP
SAS00384,Asset ID,SAS00384
SAS00384,Access Line ID,AL000384
SAS00384,Circuit ID,CIR000384
SAS00384,Technology Type,Copper
SAS00385,Asset ID,SAS00385
SAS00385,Access Line ID,AL000385
SAS00385,Circuit ID,CIR000385
SAS00385,Technology Type,FTTC
SAS00386,Asset ID,SAS00386
SAS00386,Access Line ID,AL000386
SAS00386,Circuit ID,CIR000386
