asset_id,attribute_name,attribute_value
SAS00193,Circuit ID,CIR000193
SAS00193,Postcode,MK15 6AA
SAS00193,Technology Type,Copper
SAS00194,Access Line ID,AL000194
SAS00194,Circuit ID,CIR000194
SAS00194,Postcode,MK14 8AA
SAS00194,Technology Type,FTTC
SAS00195,Access Line ID,AL000195
SAS00195,Circuit ID,CIR000195
SAS00195,Postcode,MK5 2AA
SAS00195,Technology Type,FTTC
SAS00196,Access Line ID,AL000196
SAS00196,Circuit ID,CIR000196
SAS00196,Postcode,MK11 3AA
SAS00196,Technology Type,Copper
SAS00197,Access Line ID,AL000197
SAS00197,Circuit ID,CIR000197
SAS00197,Postcode,MK18 5AA
SAS00197,Technology Type,FTTP
SAS00198,Access Line ID,AL000198
SAS00198,Circuit ID,CIR000198
SAS00198,Postcode,MK7 9AA
SAS00198,Technology Type,Copper
SAS00199,Access Line ID,AL000199
SAS00199,Circuit ID,CIR000199
SAS00199,Postcode,MK10 1AA
SAS00199,Technology Type,Copper
SAS00200,Access Line ID,AL000200
SAS00200,Circuit ID,CIR000200
SAS00200,Postcode,MK8 8AA
SAS00200,Technology Type,FTTC
SAS00201,Access Line ID,AL000201
SAS00201,Circuit ID,CIR000201
SAS00201,Postcode,MK12 6AA
SAS00201,Technology Type,Copper
SAS00202,Access Line ID,AL000202
SAS00202,Circuit ID,CIR000202
SAS00202,Postcode,MK12 9AA
SAS00202,Technology Type,FTTP
SAS00203,Access Line ID,AL000203
SAS00203,Circuit ID,CIR000203
SAS00203,Postcode,MK1 2AA
SAS00203,Technology Type,FTTC
SAS00204,Access Line ID,AL000204
SAS00204,Circuit ID,CIR000204
SAS00204,Postcode,MK13 9AA
SAS00204,Technology Type,FTTP
SAS00205,Access Line ID,AL000205
SAS00205,Circuit ID,CIR000205
SAS00205,Postcode,MK14 7AA
SAS00205,Technology Type,Copper
SAS00206,Access Line ID,AL000206
SAS00206,Circuit ID,CIR000206
SAS00206,Postcode,MK9 2AA
SAS00206,Technology Type,Copper
SAS00207,Access Line ID,AL000207
SAS00207,Circuit ID,CIR000207
SAS00207,Postcode,MK5 9AA
SAS00207,Technology Type,FTTC
SAS00208,Access Line ID,AL000208
SAS00208,Circuit ID,CIR000208
SAS00208,Postcode,MK10 7AA
SAS00208,Technology Type,FTTP
SAS00209,Access Line ID,AL000209
SAS00209,Circuit ID,CIR000209
SAS00209,Postcode,MK14 2AA
SAS00209,Technology Type,FTTC
SAS00210,Access Line ID,AL000210
SAS00210,Circuit ID,CIR000210
SAS00210,Postcode,MK6 2AA
SAS00210,Technology Type,Copper
SAS00211,Access Line ID,AL000211
SAS00211,Circuit ID,CIR000211
SAS00211,Postcode,MK6 8AA
SAS00211,Technology Type,Copper
SAS00212,Access Line ID,AL000212
SAS00212,Circuit ID,CIR000212
SAS00212,Postcode,MK6 6AA
SAS00212,Technology Type,FTTP
SAS00213,Access Line ID,AL000213
SAS00213,Circuit ID,CIR000213
SAS00213,Postcode,MK4 1AA
SAS00213,Technology Type,Copper
SAS00214,Access Line ID,AL000214
SAS00214,Circuit ID,CIR000214
SAS00214,Postcode,MK9 2AA
SAS00214,Technology Type,FTTP
SAS00215,Access Line ID,AL000215
SAS00215,Circuit ID,CIR000215
SAS00215,Postcode,MK16 3AA
SAS00215,Technology Type,FTTP
SAS00216,Access Line ID,AL000216
SAS00216,Circuit ID,CIR000216
SAS00216,Postcode,MK19 2AA
SAS00216,Technology Type,FTTC
SAS00217,Access Line ID,AL000217
SAS00217,Circuit ID,CIR000217
SAS00217,Postcode,MK1 4AA
SAS00217,Technology Type,Copper
SAS00218,Access Line ID,AL000218
SAS00218,Circuit ID,CIR000218
SAS00218,Postcode,MK6 1AA
SAS00218,Technology Type,FTTP
SAS00219,Access Line ID,AL000219
SAS00219,Circuit ID,CIR000219
SAS00219,Postcode,MK8 6AA
SAS00219,Technology Type,Copper
SAS00220,Access Line ID,AL000220
SAS00220,Circuit ID,CIR000220
SAS00220,Postcode,MK9 2AA
SAS00220,Technology Type,FTTP
SAS00221,Access Line ID,AL000221
SAS00221,Circuit ID,CIR000221
SAS00221,Postcode,MK6 4AA
SAS00221,Technology Type,FTTP
SAS00222,Access Line ID,AL000222
SAS00222,Circuit ID,CIR000222
SAS00222,Postcode,MK3 8AA
SAS00222,Technology Type,Copper
SAS00223,Access Line ID,AL000223
SAS00223,Circuit ID,CIR000223
SAS00223,Postcode,MK11 2AA
SAS00223,Technology Type,FTTP
SAS00224,Access Line ID,AL000224
SAS00224,Circuit ID,CIR000224
SAS00224,Postcode,MK10 5AA
SAS00224,Technology Type,FTTP
SAS00225,Access Line ID,AL000225
SAS00225,Circuit ID,CIR000225
SAS00225,Postcode,MK19 8AA
SAS00225,Technology Type,Copper
SAS00226,Access Line ID,AL000226
SAS00226,Circuit ID,CIR000226
SAS00226,Postcode,MK5 1AA
SAS00226,Technology Type,FTTC
SAS00227,Access Line ID,AL000227
SAS00227,Circuit ID,CIR000227
SAS00227,Postcode,MK1 6AA
SAS00227,Technology Type,FTTP
SAS00228,Access Line ID,AL000228
SAS00228,Circuit ID,CIR000228
SAS00228,Postcode,MK4 4AA
SAS00228,Technology Type,Copper
SAS00229,Access Line ID,AL000229
SAS00229,Circuit ID,CIR000229
SAS00229,Postcode,MK5 5AA
SAS00229,Technology Type,FTTC
SAS00230,Access Line ID,AL000230
SAS00230,Circuit ID,CIR000230
SAS00230,Postcode,MK14 6AA
SAS00230,Technology Type,FTTC
SAS00231,Access Line ID,AL000231
SAS00231,Circuit ID,CIR000231
SAS00231,Postcode,MK17 3AA
SAS00231,Technology Type,Copper
SAS00232,Access Line ID,AL000232
SAS00232,Circuit ID,CIR000232
SAS00232,Postcode,MK14 3AA
SAS00232,Technology Type,FTTP
SAS00233,Access Line ID,AL000233
SAS00233,Circuit ID,CIR000233
SAS00233,Postcode,MK13 6AA
SAS00233,Technology Type,FTTP
SAS00234,Access Line ID,AL000234
SAS00234,Circuit ID,CIR000234
SAS00234,Postcode,MK7 3AA
SAS00234,Technology Type,FTTP
SAS00235,Access Line ID,AL000235
SAS00235,Circuit ID,CIR000235
SAS00235,Postcode,MK6 8AA
SAS00235,Technology Type,Copper
SAS00236,Access Line ID,AL000236
SAS00236,Circuit ID,CIR000236
SAS00236,Postcode,MK12 4AA
SAS00236,Technology Type,FTTP
SAS00237,Access Line ID,AL000237
SAS00237,Circuit ID,CIR000237
SAS00237,Postcode,MK3 3AA
SAS00237,Technology Type,FTTP
SAS00238,Access Line ID,AL000238
SAS00238,Circuit ID,CIR000238
SAS00238,Postcode,MK7 6AA
SAS00238,Technology Type,Copper
SAS00239,Access Line ID,AL000239
SAS00239,Circuit ID,CIR000239
SAS00239,Postcode,MK13 9AA
SAS00239,Technology Type,FTTC
SAS00240,Access Line ID,AL000240
SAS00240,Circuit ID,CIR000240
SAS00240,Postcode,MK1 7AA
SAS00240,Technology Type,Copper
SAS00241,Access Line ID,AL000241
SAS00241,Circuit ID,CIR000241
SAS00241,Postcode,MK4 8AA
SAS00241,Technology Type,FTTP
SAS00242,Access Line ID,AL000242
SAS00242,Circuit ID,CIR000242
SAS00242,Postcode,MK8 3AA
SAS00242,Technology Type,FTTC
SAS00243,Access Line ID,AL000243
SAS00243,Circuit ID,CIR000243
SAS00243,Postcode,MK19 5AA
SAS00243,Technology Type,FTTP
SAS00244,Access Line ID,AL000244
SAS00244,Circuit ID,CIR000244
SAS00244,Postcode,MK7 8AA
SAS00244,Technology Type,FTTC
SAS00245,Access Line ID,AL000245
SAS00245,Circuit ID,CIR000245
SAS00245,Postcode,MK4 1AA
SAS00245,Technology Type,FTTC
SAS00246,Access Line ID,AL000246
SAS00246,Circuit ID,CIR000246
SAS00246,Postcode,MK13 8AA
SAS00246,Technology Type,FTTP
SAS00247,Access Line ID,AL000247
SAS00247,Circuit ID,CIR000247
SAS00247,Postcode,MK12 4AA
SAS00247,Technology Type,FTTP
SAS00248,Access Line ID,AL000248
SAS00248,Circuit ID,CIR000248
SAS00248,Postcode,MK5 1AA
SAS00248,Technology Type,FTTC
SAS00249,Access Line ID,AL000249
SAS00249,Circuit ID,CIR000249
SAS00249,Postcode,MK16 7AA
SAS00249,Technology Type,Copper
SAS00250,Access Line ID,AL000250
SAS00250,Circuit ID,CIR000250
SAS00250,Postcode,MK9 7AA
SAS00250,Technology Type,Copper
SAS00251,Access Line ID,AL000251
SAS00251,Circuit ID,CIR000251
SAS00251,Postcode,MK8 9AA
SAS00251,Technology Type,FTTP
SAS00252,Access Line ID,AL000252
SAS00252,Circuit ID,CIR000252
SAS00252,Postcode,MK16 9AA
SAS00252,Technology Type,FTTC
SAS00253,Access Line ID,AL000253
SAS00253,Circuit ID,CIR000253
SAS00253,Postcode,MK11 7AA
SAS00253,Technology Type,FTTP
SAS00254,Access Line ID,AL000254
SAS00254,Circuit ID,CIR000254
SAS00254,Postcode,MK1 5AA
SAS00254,Technology Type,FTTC
SAS00255,Access Line ID,AL000255
SAS00255,Circuit ID,CIR000255
SAS00255,Postcode,MK6 2AA
SAS00255,Technology Type,FTTP
SAS00256,Access Line ID,AL000256
SAS00256,Circuit ID,CIR000256
SAS00256,Postcode,MK2 4AA
SAS00256,Technology Type,Copper
SAS00257,Access Line ID,AL000257
SAS00257,Circuit ID,CIR000257
SAS00257,Postcode,MK6 4AA
SAS00257,Technology Type,FTTP
SAS00258,Access Line ID,AL000258
SAS00258,Circuit ID,CIR000258
SAS00258,Postcode,MK19 1AA
SAS00258,Technology Type,FTTP
SAS00259,Access Line ID,AL000259
SAS00259,Circuit ID,CIR000259
SAS00259,Postcode,MK19 4AA
SAS00259,Technology Type,Copper
SAS00260,Access Line ID,AL000260
SAS00260,Circuit ID,CIR000260
SAS00260,Postcode,MK16 1AA
SAS00260,Technology Type,FTTP
SAS00261,Access Line ID,AL000261
SAS00261,Circuit ID,CIR000261
SAS00261,Postcode,MK1 9AA
SAS00261,Technology Type,FTTC
SAS00262,Access Line ID,AL000262
SAS00262,Circuit ID,CIR000262
SAS00262,Postcode,MK5 6AA
SAS00262,Technology Type,FTTC
SAS00263,Access Line ID,AL000263
SAS00263,Circuit ID,CIR000263
SAS00263,Postcode,MK2 1AA
SAS00263,Technology Type,FTTC
SAS00264,Access Line ID,AL000264
SAS00264,Circuit ID,CIR000264
SAS00264,Postcode,MK4 9AA
SAS00264,Technology Type,Copper
SAS00265,Access Line ID,AL000265
SAS00265,Circuit ID,CIR000265
SAS00265,Postcode,MK13 2AA
SAS00265,Technology Type,FTTP
SAS00266,Access Line ID,AL000266
SAS00266,Circuit ID,CIR000266
SAS00266,Postcode,MK14 8AA
SAS00266,Technology Type,FTTP
SAS00267,Access Line ID,AL000267
SAS00267,Circuit ID,CIR000267
SAS00267,Postcode,MK8 3AA
SAS00267,Technology Type,FTTP
SAS00268,Access Line ID,AL000268
SAS00268,Circuit ID,CIR000268
SAS00268,Postcode,MK5 3AA
SAS00268,Technology Type,FTTP
SAS00269,Access Line ID,AL000269
SAS00269,Circuit ID,CIR000269
SAS00269,Postcode,MK19 1AA
SAS00269,Technology Type,FTTC
SAS00270,Access Line ID,AL000270
SAS00270,Circuit ID,CIR000270
SAS00270,Postcode,MK19 2AA
SAS00270,Technology Type,Copper
SAS00271,Access Line ID,AL000271
SAS00271,Circuit ID,CIR000271
SAS00271,Postcode,MK8 6AA
SAS00271,Technology Type,FTTP
SAS00272,Access Line ID,AL000272
SAS00272,Circuit ID,CIR000272
SAS00272,Postcode,MK11 8AA
SAS00272,Technology Type,FTTC
SAS00273,Access Line ID,AL000273
SAS00273,Circuit ID,CIR000273
SAS00273,Postcode,MK12 5AA
SAS00273,Technology Type,FTTP
SAS00274,Access Line ID,AL000274
SAS00274,Circuit ID,CIR000274
SAS00274,Postcode,MK13 8AA
SAS00274,Technology Type,FTTC
SAS00275,Access Line ID,AL000275
SAS00275,Circuit ID,CIR000275
SAS00275,Postcode,MK16 7AA
SAS00275,Technology Type,FTTP
SAS00276,Access Line ID,AL000276
SAS00276,Circuit ID,CIR000276
SAS00276,Postcode,MK19 4AA
SAS00276,Technology Type,Copper
SAS00277,Access Line ID,AL000277
SAS00277,Circuit ID,CIR000277
SAS00277,Postcode,MK10 1AA
SAS00277,Technology Type,FTTP
SAS00278,Access Line ID,AL000278
SAS00278,Circuit ID,CIR000278
SAS00278,Postcode,MK11 3AA
SAS00278,Technology Type,FTTP
SAS00279,Access Line ID,AL000279
SAS00279,Circuit ID,CIR000279
SAS00279,Postcode,MK18 2AA
SAS00279,Technology Type,FTTP
SAS00280,Access Line ID,AL000280
SAS00280,Circuit ID,CIR000280
SAS00280,Postcode,MK1 7AA
SAS00280,Technology Type,Copper
SAS00281,Access Line ID,AL000281
SAS00281,Circuit ID,CIR000281
SAS00281,Postcode,MK6 1AA
SAS00281,Technology Type,Copper
SAS00282,Access Line ID,AL000282
SAS00282,Circuit ID,CIR000282
SAS00282,Postcode,MK14 9AA
SAS00282,Technology Type,FTTP
SAS00283,Access Line ID,AL000283
SAS00283,Circuit ID,CIR000283
SAS00283,Postcode,MK10 4AA
SAS00283,Technology Type,Copper
SAS00284,Access Line ID,AL000284
SAS00284,Circuit ID,CIR000284
SAS00284,Postcode,MK5 1AA
SAS00284,Technology Type,FTTC
SAS00285,Access Line ID,AL000285
SAS00285,Circuit ID,CIR000285
SAS00285,Postcode,MK20 8AA
SAS00285,Technology Type,FTTC
SAS00286,Access Line ID,AL000286
SAS00286,Circuit ID,CIR000286
SAS00286,Postcode,MK10 2AA
SAS00286,Technology Type,FTTC
SAS00287,Access Line ID,AL000287
SAS00287,Circuit ID,CIR000287
SAS00287,Postcode,MK16 8AA
SAS00287,Technology Type,FTTC
SAS00288,Access Line ID,AL000288
SAS00288,Circuit ID,CIR000288
SAS00288,Postcode,MK6 6AA
SAS00288,Technology Type,Copper
SAS00289,Access Line ID,AL000289
SAS00289,Circuit ID,CIR000289
SAS00289,Postcode,MK2 5AA
SAS00289,Technology Type,FTTP
SAS00290,Access Line ID,AL000290
SAS00290,Circuit ID,CIR000290
SAS00290,Postcode,MK19 1AA
SAS00290,Technology Type,FTTP
SAS00291,Access Line ID,AL000291
SAS00291,Circuit ID,CIR000291
SAS00291,Postcode,MK12 9AA
SAS00291,Technology Type,Copper
SAS00292,Access Line ID,AL000292
SAS00292,Circuit ID,CIR000292
SAS00292,Postcode,MK13 9AA
SAS00292,Technology Type,Copper
SAS00293,Access Line ID,AL000293
SAS00293,Circuit ID,CIR000293
SAS00293,Postcode,MK19 4AA
SAS00293,Technology Type,Copper
SAS00294,Access Line ID,AL000294
SAS00294,Circuit ID,CIR000294
SAS00294,Postcode,MK17 9AA
SAS00294,Technology Type,FTTP
SAS00295,Access Line ID,AL000295
SAS00295,Circuit ID,CIR000295
SAS00295,Postcode,MK4 8AA
SAS00295,Technology Type,Copper
SAS00296,Access Line ID,AL000296
SAS00296,Circuit ID,CIR000296
SAS00296,Postcode,MK5 1AA
SAS00296,Technology Type,FTTC
SAS00297,Access Line ID,AL000297
SAS00297,Circuit ID,CIR000297
SAS00297,Postcode,MK7 3AA
SAS00297,Technology Type,FTTC
SAS00298,Access Line ID,AL000298
SAS00298,Circuit ID,CIR000298
SAS00298,Postcode,MK3 7AA
SAS00298,Technology Type,Copper
SAS00299,Access Line ID,AL000299
SAS00299,Circuit ID,CIR000299
SAS00299,Postcode,MK17 8AA
SAS00299,Technology Type,FTTP
SAS00300,Access Line ID,AL000300
SAS00300,Circuit ID,CIR000300
SAS00300,Postcode,MK14 2AA
SAS00300,Technology Type,FTTC
SAS00301,Access Line ID,AL000301
SAS00301,Circuit ID,CIR000301
SAS00301,Postcode,MK4 2AA
SAS00301,Technology Type,FTTC
SAS00302,Access Line ID,AL000302
SAS00302,Circuit ID,CIR000302
SAS00302,Postcode,MK14 5AA
SAS00302,Technology Type,FTTP
SAS00303,Access Line ID,AL000303
SAS00303,Circuit ID,CIR000303
SAS00303,Postcode,MK2 3AA
SAS00303,Technology Type,Copper
SAS00304,Access Line ID,AL000304
SAS00304,Circuit ID,CIR000304
SAS00304,Postcode,MK2 7AA
SAS00304,Technology Type,FTTP
SAS00305,Access Line ID,AL000305
SAS00305,Circuit ID,CIR000305
SAS00305,Postcode,MK16 5AA
SAS00305,Technology Type,FTTP
SAS00306,Access Line ID,AL000306
SAS00306,Circuit ID,CIR000306
SAS00306,Postcode,MK10 5AA
SAS00306,Technology Type,FTTP
SAS00307,Access Line ID,AL000307
SAS00307,Circuit ID,CIR000307
SAS00307,Postcode,MK8 3AA
SAS00307,Technology Type,FTTP
SAS00308,Access Line ID,AL000308
SAS00308,Circuit ID,CIR000308
SAS00308,Postcode,MK9 7AA
SAS00308,Technology Type,Copper
SAS00309,Access Line ID,AL000309
SAS00309,Circuit ID,CIR000309
SAS00309,Postcode,MK7 7AA
SAS00309,Technology Type,Copper
SAS00310,Access Line ID,AL000310
SAS00310,Circuit ID,CIR000310
SAS00310,Postcode,MK2 9AA
SAS00310,Technology Type,FTTP
SAS00311,Access Line ID,AL000311
SAS00311,Circuit ID,CIR000311
SAS00311,Postcode,MK13 3AA
SAS00311,Technology Type,FTTC
SAS00312,Access Line ID,AL000312
SAS00312,Circuit ID,CIR000312
SAS00312,Postcode,MK6 4AA
SAS00312,Technology Type,Copper
SAS00313,Access Line ID,AL000313
SAS00313,Circuit ID,CIR000313
SAS00313,Postcode,MK2 8AA
SAS00313,Technology Type,FTTC
SAS00314,Access Line ID,AL000314
SAS00314,Circuit ID,CIR000314
SAS00314,Postcode,MK12 8AA
SAS00314,Technology Type,FTTP
SAS00315,Access Line ID,AL000315
SAS00315,Circuit ID,CIR000315
SAS00315,Postcode,MK1 4AA
SAS00315,Technology Type,FTTP
SAS00316,Access Line ID,AL000316
SAS00316,Circuit ID,CIR000316
SAS00316,Postcode,MK16 9AA
SAS00316,Technology Type,FTTP
SAS00317,Access Line ID,AL000317
SAS00317,Circuit ID,CIR000317
SAS00317,Postcode,MK3 5AA
SAS00317,Technology Type,FTTP
SAS00318,Access Line ID,AL000318
SAS00318,Circuit ID,CIR000318
SAS00318,Postcode,MK8 4AA
SAS00318,Technology Type,FTTP
SAS00319,Access Line ID,AL000319
SAS00319,Circuit ID,CIR000319
SAS00319,Postcode,MK17 1AA
SAS00319,Technology Type,FTTC
SAS00320,Access Line ID,AL000320
SAS00320,Circuit ID,CIR000320
SAS00320,Postcode,MK6 1AA
SAS00320,Technology Type,Copper
SAS00321,Access Line ID,AL000321
SAS00321,Circuit ID,CIR000321
SAS00321,Postcode,MK9 7AA
SAS00321,Technology Type,FTTP
SAS00322,Access Line ID,AL000322
SAS00322,Circuit ID,CIR000322
SAS00322,Postcode,MK9 4AA
SAS00322,Technology Type,FTTP
SAS00323,Access Line ID,AL000323
SAS00323,Circuit ID,CIR000323
SAS00323,Postcode,MK19 2AA
SAS00323,Technology Type,FTTP
SAS00324,Access Line ID,AL000324
SAS00324,Circuit ID,CIR000324
SAS00324,Postcode,MK18 5AA
SAS00324,Technology Type,Copper
SAS00325,Access Line ID,AL000325
SAS00325,Circuit ID,CIR000325
SAS00325,Postcode,MK11 5AA
SAS00325,Technology Type,Copper
SAS00326,Access Line ID,AL000326
SAS00326,Circuit ID,CIR000326
SAS00326,Postcode,MK10 4AA
SAS00326,Technology Type,FTTP
SAS00327,Access Line ID,AL000327
SAS00327,Circuit ID,CIR000327
SAS00327,Postcode,MK20 7AA
SAS00327,Technology Type,Copper
SAS00328,Access Line ID,AL000328
SAS00328,Circuit ID,CIR000328
SAS00328,Postcode,MK16 5AA
SAS00328,Technology Type,FTTP
SAS00329,Access Line ID,AL000329
SAS00329,Circuit ID,CIR000329
SAS00329,Postcode,MK19 4AA
SAS00329,Technology Type,FTTP
SAS00330,Access Line ID,AL000330
SAS00330,Circuit ID,CIR000330
SAS00330,Postcode,MK16 6AA
SAS00330,Technology Type,Copper
SAS00331,Access Line ID,AL000331
SAS00331,Circuit ID,CIR000331
SAS00331,Postcode,MK10 2AA
SAS00331,Technology Type,FTTP
SAS00332,Access Line ID,AL000332
SAS00332,Circuit ID,CIR000332
SAS00332,Postcode,MK11 2AA
SAS00332,Technology Type,FTTC
SAS00333,Access Line ID,AL000333
SAS00333,Circuit ID,CIR000333
SAS00333,Postcode,MK14 6AA
SAS00333,Technology Type,FTTP
SAS00334,Access Line ID,AL000334
SAS00334,Circuit ID,CIR000334
SAS00334,Postcode,MK4 8AA
SAS00334,Technology Type,FTTP
SAS00335,Access Line ID,AL000335
SAS00335,Circuit ID,CIR000335
SAS00335,Postcode,MK16 4AA
SAS00335,Technology Type,Copper
SAS00336,Access Line ID,AL000336
SAS00336,Circuit ID,CIR000336
SAS00336,Postcode,MK17 5AA
SAS00336,Technology Type,FTTC
SAS00337,Access Line ID,AL000337
SAS00337,Circuit ID,CIR000337
SAS00337,Postcode,MK5 4AA
SAS00337,Technology Type,FTTC
SAS00338,Access Line ID,AL000338
SAS00338,Circuit ID,CIR000338
SAS00338,Postcode,MK5 6AA
SAS00338,Technology Type,FTTP
SAS00339,Access Line ID,AL000339
SAS00339,Circuit ID,CIR000339
SAS00339,Postcode,MK16 6AA
SAS00339,Technology Type,Copper
SAS00340,Access Line ID,AL000340
SAS00340,Circuit ID,CIR000340
SAS00340,Postcode,MK1 8AA
SAS00340,Technology Type,FTTC
SAS00341,Access Line ID,AL000341
SAS00341,Circuit ID,CIR000341
SAS00341,Postcode,MK19 3AA
SAS00341,Technology Type,FTTC
SAS00342,Access Line ID,AL000342
SAS00342,Circuit ID,CIR000342
SAS00342,Postcode,MK14 7AA
SAS00342,Technology Type,FTTC
SAS00343,Access Line ID,AL000343
SAS00343,Circuit ID,CIR000343
SAS00343,Postcode,MK18 4AA
SAS00343,Technology Type,FTTP
SAS00344,Access Line ID,AL000344
SAS00344,Circuit ID,CIR000344
SAS00344,Postcode,MK17 4AA
SAS00344,Technology Type,FTTP
SAS00345,Access Line ID,AL000345
SAS00345,Circuit ID,CIR000345
SAS00345,Postcode,MK8 6AA
SAS00345,Technology Type,Copper
SAS00346,Access Line ID,AL000346
SAS00346,Circuit ID,CIR000346
SAS00346,Postcode,MK19 5AA
SAS00346,Technology Type,FTTC
SAS00347,Access Line ID,AL000347
SAS00347,Circuit ID,CIR000347
SAS00347,Postcode,MK10 8AA
SAS00347,Technology Type,FTTC
SAS00348,Access Line ID,AL000348
SAS00348,Circuit ID,CIR000348
SAS00348,Postcode,MK14 3AA
SAS00348,Technology Type,Copper
SAS00349,Access Line ID,AL000349
SAS00349,Circuit ID,CIR000349
SAS00349,Postcode,MK6 7AA
SAS00349,Technology Type,FTTP
SAS00350,Access Line ID,AL000350
SAS00350,Circuit ID,CIR000350
SAS00350,Postcode,MK7 1AA
SAS00350,Technology Type,FTTC
SAS00351,Access Line ID,AL000351
SAS00351,Circuit ID,CIR000351
SAS00351,Postcode,MK2 7AA
SAS00351,Technology Type,Copper
SAS00352,Access Line ID,AL000352
SAS00352,Circuit ID,CIR000352
SAS00352,Postcode,MK20 1AA
SAS00352,Technology Type,Copper
SAS00353,Access Line ID,AL000353
SAS00353,Circuit ID,CIR000353
SAS00353,Postcode,MK2 2AA
SAS00353,Technology Type,FTTC
SAS00354,Access Line ID,AL000354
SAS00354,Circuit ID,CIR000354
SAS00354,Postcode,MK16 3AA
SAS00354,Technology Type,FTTP
SAS00355,Access Line ID,AL000355
SAS00355,Circuit ID,CIR000355
SAS00355,Postcode,MK10 7AA
SAS00355,Technology Type,Copper
SAS00356,Access Line ID,AL000356
SAS00356,Circuit ID,CIR000356
SAS00356,Postcode,MK20 3AA
SAS00356,Technology Type,FTTC
SAS00357,Access Line ID,AL000357
SAS00357,Circuit ID,CIR000357
SAS00357,Postcode,MK10 2AA
SAS00357,Technology Type,FTTC
SAS00358,Access Line ID,AL000358
SAS00358,Circuit ID,CIR000358
SAS00358,Postcode,MK9 9AA
SAS00358,Technology Type,FTTC
SAS00359,Access Line ID,AL000359
SAS00359,Circuit ID,CIR000359
SAS00359,Postcode,MK10 3AA
SAS00359,Technology Type,FTTC
SAS00360,Access Line ID,AL000360
SAS00360,Circuit ID,CIR000360
SAS00360,Postcode,MK16 6AA
SAS00360,Technology Type,Copper
SAS00361,Access Line ID,AL000361
SAS00361,Circuit ID,CIR000361
SAS00361,Postcode,MK4 8AA
SAS00361,Technology Type,FTTC
SAS00362,Access Line ID,AL000362
SAS00362,Circuit ID,CIR000362
SAS00362,Postcode,MK4 5AA
SAS00362,Technology Type,FTTC
SAS00363,Access Line ID,AL000363
SAS00363,Circuit ID,CIR000363
SAS00363,Postcode,MK9 8AA
SAS00363,Technology Type,FTTC
SAS00364,Access Line ID,AL000364
SAS00364,Circuit ID,CIR000364
SAS00364,Postcode,MK10 6AA
SAS00364,Technology Type,FTTC
SAS00365,Access Line ID,AL000365
SAS00365,Circuit ID,CIR000365
SAS00365,Postcode,MK4 1AA
SAS00365,Technology Type,Copper
SAS00366,Access Line ID,AL000366
SAS00366,Circuit ID,CIR000366
SAS00366,Postcode,MK11 6AA
SAS00366,Technology Type,FTTC
SAS00367,Access Line ID,AL000367
SAS00367,Circuit ID,CIR000367
SAS00367,Postcode,MK3 6AA
SAS00367,Technology Type,FTTP
SAS00368,Access Line ID,AL000368
SAS00368,Circuit ID,CIR000368
SAS00368,Postcode,MK13 8AA
SAS00368,Technology Type,FTTP
SAS00369,Access Line ID,AL000369
SAS00369,Circuit ID,CIR000369
SAS00369,Postcode,MK14 3AA
SAS00369,Technology Type,FTTP
SAS00370,Access Line ID,AL000370
SAS00370,Circuit ID,CIR000370
SAS00370,Postcode,MK6 2AA
SAS00370,Technology Type,FTTC
SAS00371,Access Line ID,AL000371
SAS00371,Circuit ID,CIR000371
SAS00371,Postcode,MK6 7AA
SAS00371,Technology Type,Copper
SAS00372,Access Line ID,AL000372
SAS00372,Circuit ID,CIR000372
SAS00372,Postcode,MK16 8AA
SAS00372,Technology Type,FTTP
SAS00373,Access Line ID,AL000373
SAS00373,Circuit ID,CIR000373
SAS00373,Postcode,MK9 6AA
SAS00373,Technology Type,FTTP
SAS00374,Access Line ID,AL000374
SAS00374,Circuit ID,CIR000374
SAS00374,Postcode,MK19 4AA
SAS00374,Technology Type,Copper
SAS00375,Access Line ID,AL000375
SAS00375,Circuit ID,CIR000375
SAS00375,Postcode,MK17 2AA
SAS00375,Technology Type,Copper
SAS00376,Access Line ID,AL000376
SAS00376,Circuit ID,CIR000376
SAS00376,Postcode,MK12 7AA
SAS00376,Technology Type,Copper
SAS00377,Access Line ID,AL000377
SAS00377,Circuit ID,CIR000377
SAS00377,Postcode,MK1 3AA
SAS00377,Technology Type,Copper
SAS00378,Access Line ID,AL000378
SAS00378,Circuit ID,CIR000378
SAS00378,Postcode,MK3 8AA
SAS00378,Technology Type,FTTP
SAS00379,Access Line ID,AL000379
SAS00379,Circuit ID,CIR000379
SAS00379,Postcode,MK2 9AA
SAS00379,Technology Type,FTTC
SAS00380,Access Line ID,AL000380
SAS00380,Circuit ID,CIR000380
SAS00380,Postcode,MK8 2AA
SAS00380,Technology Type,Copper
SAS00381,Access Line ID,AL000381
SAS00381,Circuit ID,CIR000381
SAS00381,Postcode,MK3 8AA
SAS00381,Technology Type,FTTP
SAS00382,Access Line ID,AL000382
SAS00382,Circuit ID,CIR000382
SAS00382,Postcode,MK1 2AA
SAS00382,Technology Type,FTTP
SAS00383,Access Line ID,AL000383
SAS00383,Circuit ID,CIR000383
SAS00383,Postcode,MK3 5AA
SAS00383,Technology Type,FTTP
SAS00384,Access Line ID,AL000384
SAS00384,Circuit ID,CIR000384
SAS00384,Postcode,MK11 6AA
SAS00384,Technology Type,Copper
SAS00385,Access Line ID,AL000385
SAS00385,Circuit ID,CIR000385
