billing_account_id,customer_name,billing_account_status,segment
BA00703,Customer 00703,Active,Consumer
BA00704,Customer 00704,Active,SME
BA00705,Customer 00705,Active,Consumer
BA00706,Customer 00706,Active,Consumer
BA00707,Customer 00707,Active,Consumer
BA00708,Customer 00708,Active,Enterprise
BA00709,Customer 00709,Active,Consumer
BA00710,Customer 00710,Active,SME
BA00711,Customer 00711,Active,Enterprise
BA00712,Customer 00712,Active,SME
BA00713,Customer 00713,Active,Consumer
BA00714,Customer 00714,Inactive,SME
BA00715,Customer 00715,Active,SME
BA00716,Customer 00716,Active,Consumer
BA00717,Customer 00717,Active,Enterprise
BA00718,Customer 00718,Active,SME
BA00719,Customer 00719,Active,Consumer
BA00720,Customer 00720,Active,SME
BA00721,Customer 00721,Active,SME
BA00722,Customer 00722,Active,Enterprise
BA00723,Customer 00723,Active,SME
BA00724,Customer 00724,Active,Consumer
BA00725,Customer 00725,Active,Consumer
BA00726,Customer 00726,Inactive,Enterprise
BA00727,Customer 00727,Active,SME
BA00728,Customer 00728,Inactive,Consumer
BA00729,Customer 00729,Active,Consumer
BA00730,Customer 00730,Active,Consumer
BA00731,Customer 00731,Active,Consumer
BA00732,Customer 00732,Active,Enterprise
BA00733,Customer 00733,Active,Enterprise
BA00734,Customer 00734,Inactive,Enterprise
BA00735,Customer 00735,Active,Consumer
BA00736,Customer 00736,Inactive,SME
BA00737,Customer 00737,Inactive,Enterprise
BA00738,Customer 00738,Active,SME
BA00739,Customer 00739,Active,Consumer
BA00740,Customer 00740,Active,SME
BA00741,Customer 00741,Active,Consumer
BA00742,Customer 00742,Active,Enterprise
BA00743,Customer 00743,Active,Consumer
BA00744,Customer 00744,Active,Enterprise
BA00745,Customer 00745,Active,SME
BA00746,Customer 00746,Active,Enterprise
BA00747,Customer 00747,Active,Consumer
BA00748,Customer 00748,Active,Consumer
BA00749,Customer 00749,Active,Enterprise
BA00750,Customer 00750,Inactive,SME
BA00751,Customer 00751,Active,SME
BA00752,Customer 00752,Active,Consumer
BA00753,Customer 00753,Active,Enterprise
BA00754,Customer 00754,Active,SME
BA00755,Customer 00755,Active,SME
BA00756,Customer 00756,Active,Consumer
BA00757,Customer 00757,Active,Enterprise
BA00758,Customer 00758,Active,SME
BA00759,Customer 00759,Active,Enterprise
BA00760,Customer 00760,Active,Consumer
BA00761,Customer 00761,Active,Consumer
BA00762,Customer 00762,Active,Consumer
BA00763,Customer 00763,Active,Consumer
BA00764,Customer 00764,Active,Consumer
BA00765,Customer 00765,Inactive,Enterprise
BA00766,Customer 00766,Active,Enterprise
BA00767,Customer 00767,Active,Enterprise
BA00768,Customer 00768,Active,Enterprise
BA00769,Customer 00769,Active,Enterprise
BA00770,Customer 00770,Inactive,SME
BA00771,Customer 00771,Active,SME
BA00772,Customer 00772,Active,Consumer
BA00773,Customer 00773,Active,SME
BA00774,Customer 00774,Active,Consumer
BA00775,Customer 00775,Active,Consumer
BA00776,Customer 00776,Active,Consumer
BA00777,Customer 00777,Active,Consumer
BA00778,Customer 00778,Active,Consumer
BA00779,Customer 00779,Active,Consumer
BA00780,Customer 00780,Active,Consumer
BA00781,Customer 00781,Active,Enterprise
BA00782,Customer 00782,Active,Consumer
BA00783,Customer 00783,Active,Enterprise
BA00784,Customer 00784,Active,SME
BA00785,Customer 00785,Active,Enterprise
BA00786,Customer 00786,Active,Consumer
BA00787,Customer 00787,Inactive,SME
BA00788,Customer 00788,Inactive,Consumer
BA00789,Customer 00789,Active,Consumer
BA00790,Customer 00790,Active,Consumer
BA00791,Customer 00791,Active,Enterprise
BA00792,Customer 00792,Active,SME
BA00793,Customer 00793,Active,Consumer
BA00794,Customer 00794,Active,SME
BA00795,Customer 00795,Active,SME
BA00796,Customer 00796,Active,Consumer
BA00797,Customer 00797,Active,Enterprise
BA00798,Customer 00798,Active,Consumer
BA00799,Customer 00799,Active,Enterprise
BA00800,Customer 00800,Active,Consumer
BA00801,Customer 00801,Active,Enterprise
BA00802,Customer 00802,Active,Enterprise
BA00803,Customer 00803,Inactive,Enterprise
BA00804,Customer 00804,Active,Consumer
BA00805,Customer 00805,Active,Enterprise
BA00806,Customer 00806,Active,Enterprise
BA00807,Customer 00807,Active,SME
BA00808,Customer 00808,Active,Enterprise
BA00809,Customer 00809,Active,Enterprise
BA00810,Customer 00810,Active,Consumer
BA00811,Customer 00811,Active,Enterprise
BA00812,Customer 00812,Inactive,Consumer
BA00813,Customer 00813,Active,Consumer
BA00814,Customer 00814,Active,Enterprise
BA00815,Customer 00815,Active,Consumer
BA00816,Customer 00816,Active,Consumer
BA00817,Customer 00817,Active,SME
BA00818,Customer 00818,Active,Consumer
BA00819,Customer 00819,Active,Enterprise
BA00820,Customer 00820,Active,Enterprise
BA00821,Customer 00821,Active,SME
BA00822,Customer 00822,Active,SME
BA00823,Customer 00823,Active,SME
BA00824,Customer 00824,Active,Consumer
BA00825,Customer 00825,Active,SME
BA00826,Customer 00826,Active,SME
BA00827,Customer 00827,Active,Consumer
BA00828,Customer 00828,Active,SME
BA00829,Customer 00829,Active,Consumer
BA00830,Customer 00830,Active,Enterprise
BA00831,Customer 00831,Inactive,Enterprise
BA00832,Customer 00832,Active,Consumer
BA00833,Customer 00833,Active,SME
BA00834,Customer 00834,Active,Consumer
BA00835,Customer 00835,Active,Consumer
BA00836,Customer 00836,Active,SME
BA00837,Customer 00837,Active,Consumer
BA00838,Customer 00838,Active,Consumer
BA00839,Customer 00839,Inactive,Consumer
BA00840,Customer 00840,Active,Enterprise
BA00841,Customer 00841,Active,Consumer
BA00842,Customer 00842,Active,Consumer
BA00843,Customer 00843,Active,SME
BA00844,Customer 00844,Active,Enterprise
BA00845,Customer 00845,Active,SME
BA00846,Customer 00846,Active,Consumer
BA00847,Customer 00847,Active,Enterprise
BA00848,Customer 00848,Active,Enterprise
BA00849,Customer 00849,Active,SME
BA00850,Customer 00850,Active,SME
BA00851,Customer 00851,Active,Consumer
BA00852,Customer 00852,Active,SME
BA00853,Customer 00853,Active,Enterprise
BA00854,Customer 00854,Active,Consumer
BA00855,Customer 00855,Active,SME
BA00856,Customer 00856,Active,SME
BA00857,Customer 00857,Active,Consumer
BA00858,Customer 00858,Active,SME
BA00859,Customer 00859,Active,Consumer
BA00860,Customer 00860,Active,Consumer
BA00861,Customer 00861,Active,SME
BA00862,Customer 00862,Active,SME
BA00863,Customer 00863,Active,Enterprise
BA00864,Customer 00864,Active,SME
BA00865,Customer 00865,Active,SME
BA00866,Customer 00866,Active,Consumer
BA00867,Customer 00867,Active,Enterprise
BA00868,Customer 00868,Active,SME
BA00869,Customer 00869,Active,SME
BA00870,Customer 00870,Inactive,Enterprise
BA00871,Customer 00871,Active,SME
BA00872,Customer 00872,Active,Enterprise
BA00873,Customer 00873,Active,Consumer
BA00874,Customer 00874,Inactive,Consumer
BA00875,Customer 00875,Active,Enterprise
BA00876,Customer 00876,Active,SME
BA00877,Customer 00877,Inactive,Enterprise
BA00878,Customer 00878,Active,Enterprise
BA00879,Customer 00879,Active,Enterprise
BA00880,Customer 00880,Active,Consumer
BA00881,Customer 00881,Active,SME
BA00882,Customer 00882,Active,Consumer
BA00883,Customer 00883,Active,SME
BA00884,Customer 00884,Active,Enterprise
BA00885,Customer 00885,Active,Enterprise
BA00886,Customer 00886,Active,SME
BA00887,Customer 00887,Active,Enterprise
BA00888,Customer 00888,Active,Consumer
BA00889,Customer 00889,Active,Enterprise
BA00890,Customer 00890,Active,Consumer
BA00891,Customer 00891,Active,Consumer
BA00892,Customer 00892,Active,SME
BA00893,Customer 00893,Active,Enterprise
BA00894,Customer 00894,Inactive,Consumer
BA00895,Customer 00895,Active,Consumer
BA00896,Customer 00896,Active,Consumer
BA00897,Customer 00897,Active,SME
BA00898,Customer 00898,Active,Enterprise
BA00899,Customer 00899,Inactive,Enterprise
BA00900,Customer 00900,Inactive,Enterprise
BA00901,Customer 00901,Active,SME
BA00902,Customer 00902,Active,Enterprise
BA00903,Customer 00903,Active,Consumer
BA00904,Customer 00904,Active,SME
BA00905,Customer 00905,Active,SME
BA00906,Customer 00906,Active,Enterprise
BA00907,Customer 00907,Active,SME
BA00908,Customer 00908,Active,Consumer
BA00909,Customer 00909,Active,Consumer
BA00910,Customer 00910,Active,Enterprise
BA00911,Customer 00911,Active,SME
BA00912,Customer 00912,Active,Enterprise
BA00913,Customer 00913,Active,Consumer
BA00914,Customer 00914,Active,Enterprise
BA00915,Customer 00915,Active,SME
BA00916,Customer 00916,Active,Consumer
BA00917,Customer 00917,Active,Consumer
BA00918,Customer 00918,Active,Consumer
BA00919,Customer 00919,Active,Consumer
BA00920,Customer 00920,Active,SME
BA00921,Customer 00921,Active,Enterprise
BA00922,Customer 00922,Active,Enterprise
BA00923,Customer 00923,Active,SME
BA00924,Customer 00924,Active,Consumer
BA00925,Customer 00925,Active,SME
BA00926,Customer 00926,Active,Consumer
BA00927,Customer 00927,Active,Enterprise
BA00928,Customer 00928,Active,Consumer
BA00929,Customer 00929,Active,Consumer
BA00930,Customer 00930,Active,Consumer
BA00931,Customer 00931,Active,Enterprise
BA00932,Customer 00932,Active,SME
BA00933,Customer 00933,Active,SME
BA00934,Customer 00934,Inactive,SME
BA00935,Customer 00935,Active,Enterprise
BA00936,Customer 00936,Active,SME
BA00937,Customer 00937,Active,SME
BA00938,Customer 00938,Inactive,Consumer
BA00939,Customer 00939,Inactive,Enterprise
BA00940,Customer 00940,Active,Enterprise
BA00941,Customer 00941,Active,SME
BA00942,Customer 00942,Active,Consumer
BA00943,Customer 00943,Active,Enterprise
BA00944,Customer 00944,Active,Consumer
BA00945,Customer 00945,Active,Consumer
BA00946,Customer 00946,Active,SME
BA00947,Customer 00947,Inactive,Consumer
BA00948,Customer 00948,Active,Enterprise
BA00949,Customer 00949,Active,SME
BA00950,Customer 00950,Active,Enterprise
BA00951,Customer 00951,Active,Enterprise
BA00952,Customer 00952,Inactive,SME
BA00953,Customer 00953,Active,SME
BA00954,Customer 00954,Active,Enterprise
BA00955,Customer 00955,Active,SME
BA00956,Customer 00956,Active,SME
BA00957,Customer 00957,Active,Enterprise
BA00958,Customer 00958,Active,SME
BA00959,Customer 00959,Active,SME
BA00960,Customer 00960,Inactive,Enterprise
BA00961,Customer 00961,Inactive,Enterprise
BA00962,Customer 00962,Active,Enterprise
BA00963,Customer 00963,Active,Consumer
BA00964,Customer 00964,Active,Enterprise
BA00965,Customer 00965,Active,Enterprise
BA00966,Customer 00966,Active,Consumer
BA00967,Customer 00967,Active,Consumer
BA00968,Customer 00968,Active,Enterprise
BA00969,Customer 00969,Inactive,SME
BA00970,Customer 00970,Active,SME
BA00971,Customer 00971,Inactive,SME
BA00972,Customer 00972,Active,Consumer
BA00973,Customer 00973,Active,Consumer
BA00974,Customer 00974,Active,Enterprise
BA00975,Customer 00975,Active,Consumer
BA00976,Customer 00976,Active,Enterprise
BA00977,Customer 00977,Active,SME
BA00978,Customer 00978,Inactive,SME
BA00979,Customer 00979,Active,SME
BA00980,Customer 00980,Active,Enterprise
BA00981,Customer 00981,Active,Consumer
BA00982,Customer 00982,Inactive,Enterprise
BA00983,Customer 00983,Active,Consumer
BA00984,Customer 00984,Active,SME
BA00985,Customer 00985,Active,Enterprise
BA00986,Customer 00986,Active,Enterprise
BA00987,Customer 00987,Active,SME
BA00988,Customer 00988,Active,Enterprise
BA00989,Customer 00989,Active,Enterprise
BA00990,Customer 00990,Active,Enterprise
BA00991,Customer 00991,Active,SME
BA00992,Customer 00992,Active,Consumer
BA00993,Customer 00993,Active,SME
BA00994,Customer 00994,Active,Consumer
BA00995,Customer 00995,Active,Enterprise
BA00996,Customer 00996,Inactive,Enterprise
BA00997,Customer 00997,Inactive,Enterprise
BA00998,Customer 00998,Active,SME
BA00999,Customer 00999,Inactive,Enterprise
BA01000,Customer 01000,Active,SME
